divergence_model	estimated_prob	glm_adjusted_prob	div_model_with_conditional_age_estimates
0,0,0,0,0,0	0.282	0.0160734510968	0:0.00332519615[&age_median=0.00332519615,age_mean=0.00354743567589,age_n=282,age_range={4.31033e-06,0.01032115534},age_hpdi_95={7.962282e-05,0.00734412666},age_qi_95={0.00035753590525,0.0084037105055}]
0,1,1,1,0,1	0.04	0.0245479937407	0:0.01224494165[&age_median=0.01224494165,age_mean=0.0115347103752,age_n=40,age_range={0.00084676871,0.02462915655},age_hpdi_95={0.00084676871,0.02113043718},age_qi_95={0.002520321539,0.0234883973752}],1:0.00122270284[&age_median=0.00122270284,age_mean=0.00186896650325,age_n=40,age_range={7.211808e-05,0.00813739477},age_hpdi_95={7.211808e-05,0.00551850124},age_qi_95={9.678326925e-05,0.005620048393}]
0,1,1,1,0,0	0.026	0.0247732931253	0:0.008385773545[&age_median=0.008385773545,age_mean=0.00912582638654,age_n=26,age_range={0.00196117194,0.02064150096},age_hpdi_95={0.00196117194,0.01968582009},age_qi_95={0.0021274743025,0.0200442004162}],1:0.001346130685[&age_median=0.001346130685,age_mean=0.00230985268538,age_n=26,age_range={4.62228e-06,0.00939019918},age_hpdi_95={4.62228e-06,0.00719345449},age_qi_95={0.00011273013,0.00801723374875}]
0,0,1,1,0,0	0.017	0.0246688904619	0:0.00906290154[&age_median=0.00906290154,age_mean=0.00880318535941,age_n=17,age_range={0.00111044867,0.01600100547},age_hpdi_95={0.00111044867,0.01600100547},age_qi_95={0.002005349182,0.015545651558}],1:0.00098941437[&age_median=0.00098941437,age_mean=0.00257933174941,age_n=17,age_range={4.890549e-05,0.0090932528},age_hpdi_95={4.890549e-05,0.0090932528},age_qi_95={6.8668286e-05,0.00830578262}]
0,1,1,1,1,0	0.017	0.0242584603407	0:0.00908022926[&age_median=0.00908022926,age_mean=0.00971565150353,age_n=17,age_range={0.0010306805,0.0237778293},age_hpdi_95={0.0010306805,0.0237778293},age_qi_95={0.001337351892,0.022481832072}],1:0.00160480194[&age_median=0.00160480194,age_mean=0.00246555006706,age_n=17,age_range={7.525844e-05,0.00798824183},age_hpdi_95={7.525844e-05,0.00798824183},age_qi_95={0.000143791692,0.006907769366}]
0,1,1,0,0,1	0.016	0.0235797127695	0:0.005456019895[&age_median=0.005456019895,age_mean=0.00525790294813,age_n=16,age_range={0.00030453831,0.01188945984},age_hpdi_95={0.00030453831,0.01188945984},age_qi_95={0.0003964053375,0.0114592757325}],1:0.003148914205[&age_median=0.003148914205,age_mean=0.00347477667875,age_n=16,age_range={0.0003392928,0.00999376559},age_hpdi_95={0.0003392928,0.00999376559},age_qi_95={0.00036934794375,0.00854487796625}]
0,1,0,1,0,1	0.016	0.0226809575894	0:0.007266483765[&age_median=0.007266483765,age_mean=0.008000497075,age_n=16,age_range={0.00133424577,0.01388585029},age_hpdi_95={0.00133424577,0.01388585029},age_qi_95={0.0019627592475,0.0138519198362}],1:0.00195886736[&age_median=0.00195886736,age_mean=0.00303303378063,age_n=16,age_range={5.414614e-05,0.00869669958},age_hpdi_95={5.414614e-05,0.00869669958},age_qi_95={8.247362875e-05,0.008644142505}]
0,1,1,1,1,1	0.015	0.0216170175964	0:0.01032088666[&age_median=0.01032088666,age_mean=0.010919267322,age_n=15,age_range={0.00394585867,0.01859667338},age_hpdi_95={0.00394585867,0.01859667338},age_qi_95={0.0045152823745,0.017974917952}],1:0.00158922609[&age_median=0.00158922609,age_mean=0.00244195622733,age_n=15,age_range={7.567873e-05,0.00655475084},age_hpdi_95={7.567873e-05,0.00655475084},age_qi_95={0.0001457475505,0.006507494554}]
0,0,0,0,1,1	0.015	0.0237339395361	0:0.00283739725[&age_median=0.00283739725,age_mean=0.00308715949867,age_n=15,age_range={0.00014016967,0.00635381853},age_hpdi_95={0.00014016967,0.00635381853},age_qi_95={0.000208267532,0.0062457897315}],1:0.005884261[&age_median=0.005884261,age_mean=0.00776122977067,age_n=15,age_range={0.00303788596,0.01882682086},age_hpdi_95={0.00303788596,0.01882682086},age_qi_95={0.0032246198745,0.017253210059}]
0,0,1,0,0,1	0.011	0.0190141803908	0:0.00383494507[&age_median=0.00383494507,age_mean=0.00360136598727,age_n=11,age_range={9.076869e-05,0.00688764797},age_hpdi_95={9.076869e-05,0.00688764797},age_qi_95={0.0001898213025,0.006826268885}],1:0.00486387673[&age_median=0.00486387673,age_mean=0.00454883880091,age_n=11,age_range={0.00162174415,0.00687886103},age_hpdi_95={0.00162174415,0.00687886103},age_qi_95={0.0016757955075,0.006823658805}]
