number	PRI.div.model	density	PRI.Psi	density	PRI.E.t	density	PRI.omega	density	PRI.cv	density
1	1	0.0245018	1	0.484867	4.31033e-06	16.0339	0	149.582	0	1.26803
2	1.16316	0.0246264	1.00501	0.485822	1.8645e-05	16.6209	2.35865e-05	152.064	0.00221957	1.26669
3	1.32633	0.0247415	1.01001	0.486533	3.29797e-05	17.2226	4.71731e-05	154.516	0.00443913	1.2648
4	1.48949	0.0248471	1.01502	0.487001	4.73143e-05	17.8392	7.07596e-05	156.937	0.0066587	1.26237
5	1.65265	0.0249432	1.02002	0.487224	6.1649e-05	18.4706	9.43461e-05	159.323	0.00887826	1.25939
6	1.81582	0.0250297	1.02503	0.487203	7.59837e-05	19.1171	0.000117933	161.673	0.0110978	1.25589
7	1.97898	0.0251066	1.03003	0.486936	9.03183e-05	19.7786	0.000141519	163.983	0.0133174	1.25185
8	2.14214	0.0251738	1.03504	0.486425	0.000104653	20.4552	0.000165106	166.252	0.015537	1.24731
9	2.30531	0.0252314	1.04004	0.485671	0.000118988	21.147	0.000188692	168.477	0.0177565	1.24226
10	2.46847	0.0252794	1.04505	0.484674	0.000133322	21.8539	0.000212279	170.657	0.0199761	1.23671
11	2.63163	0.0253177	1.05005	0.483436	0.000147657	22.576	0.000235865	172.787	0.0221957	1.23068
12	2.79479	0.0253464	1.05506	0.481959	0.000161992	23.3133	0.000259452	174.868	0.0244152	1.22418
13	2.95796	0.0253657	1.06006	0.480246	0.000176326	24.0657	0.000283038	176.896	0.0266348	1.21722
14	3.12112	0.0253754	1.06507	0.478298	0.000190661	24.8334	0.000306625	178.869	0.0288544	1.20981
15	3.28428	0.0253758	1.07007	0.476119	0.000204996	25.6162	0.000330211	180.786	0.0310739	1.20197
16	3.44745	0.0253668	1.07508	0.473713	0.00021933	26.414	0.000353798	182.645	0.0332935	1.19372
17	3.61061	0.0253487	1.08008	0.471082	0.000233665	27.227	0.000377385	184.443	0.0355131	1.18505
18	3.77377	0.0253215	1.08509	0.468231	0.000248	28.0549	0.000400971	186.179	0.0377326	1.176
19	3.93694	0.0252853	1.09009	0.465164	0.000262334	28.8977	0.000424558	187.852	0.0399522	1.16658
20	4.1001	0.0252402	1.0951	0.461885	0.000276669	29.7554	0.000448144	189.46	0.0421718	1.1568
21	4.26326	0.0251866	1.1001	0.458401	0.000291004	30.6278	0.000471731	191.001	0.0443913	1.14668
22	4.42643	0.0251243	1.10511	0.454714	0.000305338	31.5148	0.000495317	192.474	0.0466109	1.13623
23	4.58959	0.0250538	1.11011	0.450832	0.000319673	32.4164	0.000518904	193.878	0.0488305	1.12548
24	4.75275	0.0249751	1.11512	0.44676	0.000334008	33.3323	0.00054249	195.211	0.05105	1.11444
25	4.91592	0.0248884	1.12012	0.442503	0.000348342	34.2625	0.000566077	196.473	0.0532696	1.10312
26	5.07908	0.024794	1.12513	0.438069	0.000362677	35.2068	0.000589663	197.663	0.0554892	1.09155
27	5.24224	0.024692	1.13013	0.433462	0.000377012	36.1651	0.00061325	198.779	0.0577087	1.07975
28	5.40541	0.0245826	1.13514	0.428691	0.000391346	37.1372	0.000636836	199.822	0.0599283	1.06772
29	5.56857	0.0244661	1.14014	0.423761	0.000405681	38.1229	0.000660423	200.789	0.0621479	1.0555
30	5.73173	0.0243428	1.14515	0.418679	0.000420016	39.1221	0.000684009	201.682	0.0643674	1.04309
31	5.89489	0.0242128	1.15015	0.413454	0.00043435	40.1345	0.000707596	202.499	0.066587	1.03052
32	6.05806	0.0240764	1.15516	0.408091	0.000448685	41.16	0.000731183	203.24	0.0688066	1.0178
33	6.22122	0.0239338	1.16016	0.402599	0.00046302	42.1984	0.000754769	203.906	0.0710261	1.00495
