what	PRI.div.model	PRI.Psi	PRI.E.t	PRI.omega	PRI.cv
mode	4.87588	4.003	0.00249245	0.00145698	0.970554
mean	0.314597	0.682081	0.196736	0.16673	0.378508
median	42.6226	3.3365	0.00289344	0.00381458	0.893316
quantile_50_lower_bound	15.0305	2.35774	0.00199426	0.00179933	0.537616
quantile_50_upper_bound	89.0215	4.27814	0.00392517	0.00700589	1.24372
quantile_90_lower_bound	3.5655	1.1869	0.00094717	0.000422668	0.0710575
quantile_90_upper_bound	142.275	5.28623	0.0053751	0.0143147	1.6916
quantile_95_lower_bound	2.26469	1.08462	0.000685215	0.000215254	0.0336492
quantile_95_upper_bound	154.794	5.69708	0.00584622	0.0171353	1.84094
quantile_99_lower_bound	1.18816	1.01458	0.000352539	3.32164e-05	0.00574111
quantile_99_upper_bound	170.355	5.94802	0.00672528	0.0206051	2.10829
HPD_50_lower_bound	1	0.999858	0.00172856	1.08507e-06	-6.7983e-05
HPD_50_upper_bound	42.5776	5.13428	0.00362329	0.00379313	1.19441
HPD_90_lower_bound	0.999993	0.999951	0.000765328	1.0448e-06	-5.00821e-06
HPD_90_upper_bound	136.127	6.00005	0.00513694	0.0107745	1.55713
HPD_95_lower_bound	1	0.999976	0.000490104	9.26067e-07	9.06974e-07
HPD_95_upper_bound	142.117	6.00002	0.00556506	0.014326	1.6914
HPD_99_lower_bound	1	0.999996	0.000230816	1.03179e-06	1.05486e-06
HPD_99_upper_bound	166.077	6	0.00635947	0.0190914	2.01413
