PRI.div.model	PRI.t.1	PRI.t.2	PRI.t.3	PRI.t.4	PRI.t.5	PRI.t.6	PRI.d1Theta.1	PRI.d1Theta.2	PRI.d1Theta.3	PRI.d1Theta.4	PRI.d1Theta.5	PRI.d1Theta.6	PRI.d2Theta.1	PRI.d2Theta.2	PRI.d2Theta.3	PRI.d2Theta.4	PRI.d2Theta.5	PRI.d2Theta.6	PRI.aTheta.1	PRI.aTheta.2	PRI.aTheta.3	PRI.aTheta.4	PRI.aTheta.5	PRI.aTheta.6	PRI.model	PRI.Psi	PRI.var.t	PRI.E.t	PRI.omega	PRI.cv	pi.1	pi.2	pi.3	pi.4	pi.5	pi.6	wattTheta.1	wattTheta.2	wattTheta.3	wattTheta.4	wattTheta.5	wattTheta.6	pi.net.1	pi.net.2	pi.net.3	pi.net.4	pi.net.5	pi.net.6	tajD.denom.1	tajD.denom.2	tajD.denom.3	tajD.denom.4	tajD.denom.5	tajD.denom.6
2	0.00273841488	0.00273841488	0.00273841488	0.00273841488	0.00273841488	0.00273841488	0.013741	0.005411	0.003243	0.001807	0.017878	0.009347	0.013741	0.005411	0.003243	0.001807	0.017878	0.009347	0.013741	0.005411	0.003243	0.001807	0.017878	0.009347	1	1	0	0.00273841488	0	0	0.028203	0.005519	0.002926	0.003275	0.013211	0.011270	0.033263	0.006915	0.004398	0.003217	0.016834	0.012629	0.003784	0.001883	0.003329	0.005256	0.003029	0.008494	0.054181	0.025655	0.018377	0.019135	0.039181	0.032264
119	0.00542119105	0.00122547714	0.00542119105	0.00334641096	0.00334641096	0.00785746792	0.020636	0.006586	0.005511	0.003688	0.011863	0.009750	0.020636	0.006586	0.005511	0.003688	0.011863	0.009750	0.020636	0.006586	0.005511	0.003688	0.011863	0.009750	1	4	5.26590207091814e-06	0.00443635818	0.00118698758244046	0.517261061211281	0.027892	0.002139	0.003260	0.005333	0.024043	0.009347	0.033263	0.004322	0.007037	0.006165	0.019781	0.015787	0.008116	0.000438	0.003104	0.001859	0.021393	0.009066	0.054181	0.020264	0.023269	0.026518	0.042516	0.036115
60	0.00388122488	0.00227218918	0.00109806910	0.00089110183	0.00227218918	0.00089110183	0.012393	0.003342	0.009120	0.003362	0.004914	0.015430	0.012393	0.003342	0.009120	0.003362	0.004914	0.015430	0.012393	0.003342	0.009120	0.003362	0.004914	0.015430	1	4	1.375933849044e-06	0.00188431266666667	0.000730204638213263	0.622509251086438	0.024808	0.002441	0.003414	0.004695	0.012931	0.008283	0.027528	0.004322	0.005278	0.004825	0.013888	0.012629	0.008862	0.000570	0.000420	0.000353	0.003243	0.000000	0.049187	0.020264	0.020137	0.023449	0.035549	0.032264
14	0.01729483709	0.00072120788	0.00265615113	0.00072120788	0.00415678566	0.00265615113	0.016402	0.003834	0.002612	0.006102	0.007100	0.004904	0.016402	0.003834	0.002612	0.006102	0.007100	0.004904	0.016402	0.003834	0.002612	0.006102	0.007100	0.004904	1	4	3.97882412634152e-05	0.004701056795	0.00846368018904464	1.34178172737093	0.025141	0.000597	0.002182	0.003148	0.019799	0.008119	0.030969	0.002593	0.004398	0.006701	0.015151	0.010825	0.020169	0.000000	0.008490	0.000720	0.007942	0.002265	0.052236	0.015686	0.018377	0.027652	0.037147	0.029850
52	0.01083099346	0.00440212186	0.00440212186	0.00028608257	0.02198718965	0.00028608257	0.015235	0.001872	0.004897	0.006098	0.005230	0.007079	0.015235	0.001872	0.004897	0.006098	0.005230	0.007079	0.015235	0.001872	0.004897	0.006098	0.005230	0.007079	1	4	6.85874739328254e-05	0.007032431995	0.00975302341801393	1.17765169888104	0.024608	0.006099	0.009599	0.002557	0.022902	0.010301	0.034410	0.004322	0.009677	0.004289	0.016414	0.011276	0.013852	0.010712	0.010187	0.000059	0.032909	0.014316	0.055131	0.020264	0.027313	0.022104	0.038682	0.030471
90	0.00994832531	0.00264235555	0.00723482674	0.00117180724	0.00994832531	0.00994832531	0.015630	0.002150	0.007774	0.003170	0.009794	0.005544	0.015630	0.002150	0.007774	0.003170	0.009794	0.005544	0.015630	0.002150	0.007774	0.003170	0.009794	0.005544	1	4	1.57772041196598e-05	0.00681566091	0.00231484581290001	0.582783230746361	0.031088	0.002224	0.005672	0.002401	0.021443	0.011000	0.030969	0.002593	0.004398	0.002949	0.022306	0.012629	0.015804	0.000923	0.002779	0.001644	0.012256	0.020269	0.052236	0.015686	0.018377	0.018319	0.045190	0.032264
120	0.00481535967	0.00481535967	0.00157904910	0.00157904910	0.00157904910	0.00481535967	0.015535	0.005931	0.004011	0.004429	0.009423	0.010299	0.015535	0.005931	0.004011	0.004429	0.009423	0.010299	0.015535	0.005931	0.004011	0.004429	0.009423	0.010299	1	2	3.14211183164811e-06	0.003197204385	0.000982768523147798	0.554421953941302	0.031132	0.004745	0.009779	0.005837	0.017605	0.007097	0.033263	0.004322	0.008797	0.006701	0.017676	0.009472	0.016112	0.005748	0.007256	0.008329	0.010004	0.006888	0.054181	0.020264	0.026033	0.027652	0.040160	0.027908
85	0.00162754330	0.00129142896	0.00423759053	0.00129142896	0.00423759053	0.00129142896	0.019304	0.006305	0.007841	0.005316	0.012538	0.009525	0.019304	0.006305	0.007841	0.005316	0.012538	0.009525	0.019304	0.006305	0.007841	0.005316	0.012538	0.009525	1	3	2.20142732045305e-06	0.00232950187333333	0.000945020626793048	0.636926196976013	0.020570	0.002344	0.004235	0.006767	0.012838	0.007552	0.033263	0.007779	0.007037	0.006433	0.015993	0.012629	0.000135	0.000154	0.001471	0.005094	0.002943	0.018534	0.054181	0.027220	0.023269	0.027091	0.038177	0.032264
82	0.00188338537	0.00188338537	0.00356627409	0.00356627409	0.00188338537	0.00188338537	0.015155	0.003576	0.004503	0.002585	0.006308	0.009587	0.015155	0.003576	0.004503	0.002585	0.006308	0.009587	0.015155	0.003576	0.004503	0.002585	0.006308	0.009587	1	2	7.55230518374198e-07	0.00244434827666667	0.000308970094639745	0.355530349925889	0.029179	0.004204	0.004646	0.003853	0.016372	0.006683	0.032116	0.006915	0.007037	0.004557	0.016834	0.006766	0.023089	0.002098	0.006749	0.007000	0.014802	0.003929	0.053217	0.025655	0.023269	0.022786	0.039181	0.023562
38	0.01036403598	0.00748711626	0.00748711626	0.00053274135	0.01163853697	0.00748711626	0.015728	0.004191	0.002575	0.007962	0.010352	0.010653	0.015728	0.004191	0.002575	0.007962	0.010352	0.010653	0.015728	0.004191	0.002575	0.007962	0.010352	0.010653	1	4	1.47746759118442e-05	0.00749944384666667	0.00197010287881697	0.512542548506563	0.022944	0.003926	0.006160	0.003331	0.020964	0.008701	0.026381	0.005186	0.007037	0.004289	0.016414	0.009472	0.012145	0.003740	0.006963	0.000000	0.030861	0.005991	0.048131	0.022204	0.023269	0.022104	0.038682	0.027908
53	0.01627221753	0.00269751673	0.00269751673	0.00645667969	0.00334694121	0.00334694121	0.012193	0.008314	0.007661	0.002246	0.012173	0.010961	0.012193	0.008314	0.007661	0.002246	0.012173	0.010961	0.012193	0.008314	0.007661	0.002246	0.012173	0.010961	1	4	2.82768630124256e-05	0.00580296885	0.00487282695174653	0.91635841980148	0.026361	0.007322	0.004620	0.004484	0.017004	0.011942	0.029822	0.007779	0.008797	0.003753	0.018518	0.013531	0.023373	0.006448	0.001392	0.011196	0.001372	0.001845	0.051238	0.027220	0.026033	0.020672	0.041118	0.033407
33	0.01253025650	0.00051337305	0.00051337305	0.00035386823	0.01253025650	0.00035386823	0.009394	0.004324	0.010234	0.003645	0.007106	0.011278	0.009394	0.004324	0.010234	0.003645	0.007106	0.011278	0.009394	0.004324	0.010234	0.003645	0.007106	0.011278	1	3	3.90260481253708e-05	0.00446583259333333	0.00873880677561212	1.39886192302043	0.030766	0.002594	0.008983	0.002669	0.018319	0.006111	0.030969	0.006050	0.005278	0.004021	0.015151	0.008119	0.017093	0.000324	0.000000	0.001491	0.027283	0.000285	0.052236	0.023991	0.020137	0.021400	0.037147	0.025824
1	0.01114177821	0.00145080603	0.00805170303	0.00348811755	0.01345678054	0.01791013926	0.012212	0.006092	0.006913	0.003649	0.013923	0.003838	0.012212	0.006092	0.006913	0.003649	0.013923	0.003838	0.012212	0.006092	0.006913	0.003649	0.013923	0.003838	1	6	3.83472941623475e-05	0.00924988743666667	0.00414570387206425	0.669469682965025	0.037035	0.001513	0.005775	0.003508	0.017284	0.010698	0.032116	0.003457	0.007917	0.004289	0.015572	0.014884	0.021881	0.000082	0.013001	0.007633	0.010079	0.035631	0.053217	0.018119	0.024688	0.022104	0.037665	0.035056
11	0.01287096493	0.00085397442	0.00742394102	0.00362393126	0.01287096493	0.00388495446	0.025335	0.004142	0.004260	0.004210	0.011759	0.008755	0.025335	0.004142	0.004260	0.004210	0.011759	0.008755	0.025335	0.004142	0.004260	0.004210	0.011759	0.008755	1	5	2.55908295897187e-05	0.00692145517	0.0036973192719124	0.730877802443542	0.020880	0.007680	0.003876	0.003292	0.016549	0.010041	0.025234	0.005186	0.006158	0.005093	0.016414	0.012178	0.017131	0.001864	0.012937	0.007005	0.015826	0.000000	0.047053	0.022204	0.021758	0.024094	0.038682	0.031677
