what	PRI.div.model	PRI.Psi	PRI.E.t	PRI.omega	PRI.cv
mode	41.991	2.97197	0.0035878	0.00143559	0.0179999
mean	0.299962	0.613181	0.191128	0.13532	0.362949
median	43.043	3.05137	0.00356653	0.00361158	0.760382
quantile_50_lower_bound	28.53	2.31833	0.00241208	0.00173042	0.381377
quantile_50_upper_bound	64.876	3.9192	0.00472197	0.00689774	1.04391
quantile_90_lower_bound	8.64622	1.09919	0.00103627	0.000381175	0.0375502
quantile_90_upper_bound	130.217	4.9148	0.006416	0.0129731	1.40691
quantile_95_lower_bound	5.33058	1.04622	0.000815811	0.000188369	0.018288
quantile_95_upper_bound	151.335	5.12099	0.00693644	0.0148715	1.49636
quantile_99_lower_bound	1.95164	1.00705	0.000626756	2.45993e-05	0.002904
quantile_99_upper_bound	168.633	5.69934	0.00790997	0.0185213	1.64378
HPD_50_lower_bound	16.4154	0.999923	0.00239187	5.83422e-07	-7.76527e-05
HPD_50_upper_bound	53.7277	4.14322	0.00468875	0.00362428	1.12207
HPD_90_lower_bound	0.999982	0.999977	0.000587249	8.96645e-07	-9.06465e-06
HPD_90_upper_bound	120.119	5.12915	0.00579053	0.0107301	1.358
HPD_95_lower_bound	1	0.99999	0.000587256	1.12132e-06	-1.58965e-06
HPD_95_upper_bound	130.279	5.21422	0.00641738	0.0129192	1.43199
HPD_99_lower_bound	0.999995	1	0.000587466	9.90118e-07	9.71324e-07
HPD_99_upper_bound	169.694	5.34434	0.00751892	0.0169389	1.58399
