divergence_model	estimated_prob	glm_adjusted_prob	div_model_with_conditional_age_estimates
0,1,2,3,4,5	0.052	0.00627723314529	0:0.016433244125[&age_median=0.016433244125,age_mean=0.019936752611,age_n=52,age_range={0.00317283835,0.06183069146},age_hpdi_95={0.00418151156,0.0466909251},age_qi_95={0.0047812953545,0.046419231205}],1:0.00542516072[&age_median=0.00542516072,age_mean=0.00575363644173,age_n=52,age_range={8.380237e-05,0.01972960496},age_hpdi_95={8.380237e-05,0.01510625069},age_qi_95={0.00065681365275,0.015600719772}],2:0.00735781467[&age_median=0.00735781467,age_mean=0.00777816503923,age_n=52,age_range={0.00026932648,0.02079852378},age_hpdi_95={0.00026932648,0.01987130016},age_qi_95={0.00037546693925,0.020347192625}],3:0.002743698[&age_median=0.002743698,age_mean=0.00402928582096,age_n=52,age_range={2.657688e-05,0.01726646454},age_hpdi_95={2.657688e-05,0.01410188138},age_qi_95={0.0003344308405,0.0145459648833}],4:0.0147936283[&age_median=0.0147936283,age_mean=0.0152721127315,age_n=52,age_range={0.00106216984,0.03771510122},age_hpdi_95={0.00311453797,0.03445926804},age_qi_95={0.00324859144175,0.0340772292757}],5:0.008619526295[&age_median=0.008619526295,age_mean=0.00909180154269,age_n=52,age_range={0.00031904958,0.02240227692},age_hpdi_95={0.00031904958,0.02025778685},age_qi_95={0.000709591232,0.0216946076333}]
0,1,2,2,3,4	0.032	0.0132734734775	0:0.018254755035[&age_median=0.018254755035,age_mean=0.0198362874222,age_n=32,age_range={0.0013961618,0.04626796522},age_hpdi_95={0.0013961618,0.04132188425},age_qi_95={0.00181876509175,0.0424347524682}],1:0.003712804525[&age_median=0.003712804525,age_mean=0.00530932581469,age_n=32,age_range={0.00055223496,0.01728701212},age_hpdi_95={0.00055223496,0.01571497622},age_qi_95={0.00063608063675,0.0160686842975}],2:0.003209978655[&age_median=0.003209978655,age_mean=0.00395250892281,age_n=32,age_range={0.00014926376,0.01205458315},age_hpdi_95={0.00014926376,0.01065655302},age_qi_95={0.0001898944215,0.0109711097992}],3:0.01434213097[&age_median=0.01434213097,age_mean=0.0145334089603,age_n=32,age_range={0.00080157454,0.03363776956},age_hpdi_95={0.00080157454,0.02604723829},age_qi_95={0.00148064024275,0.0277551078257}],4:0.009959816775[&age_median=0.009959816775,age_mean=0.0111842260622,age_n=32,age_range={0.00125373653,0.02279582173},age_hpdi_95={0.00213046826,0.02279582173},age_qi_95={0.00193320362075,0.0223347607837}]
0,1,2,1,3,4	0.03	0.0117474078568	0:0.015167383755[&age_median=0.015167383755,age_mean=0.0169646218217,age_n=30,age_range={0.0064605844,0.03447131853},age_hpdi_95={0.0064605844,0.03373018965},age_qi_95={0.00682225869025,0.033934000092}],1:0.00229361216[&age_median=0.00229361216,age_mean=0.00277972276833,age_n=30,age_range={0.00039481615,0.00829300444},age_hpdi_95={0.00039481615,0.00781677085},age_qi_95={0.0004373391255,0.00794773508725}],2:0.006616750325[&age_median=0.006616750325,age_mean=0.00742283555433,age_n=30,age_range={0.00010858565,0.021336117},age_hpdi_95={0.00010858565,0.01762796274},age_qi_95={0.0004619751405,0.0186477051615}],3:0.013015968245[&age_median=0.013015968245,age_mean=0.0134793227943,age_n=30,age_range={0.00030667334,0.03181141537},age_hpdi_95={0.00030667334,0.02878049796},age_qi_95={0.0009145309285,0.0296140002477}],4:0.00913873413[&age_median=0.00913873413,age_mean=0.0103923748847,age_n=30,age_range={0.00071967332,0.02451312854},age_hpdi_95={0.00071967332,0.01990987862},age_qi_95={0.00134514935825,0.021175772348}]
0,1,1,2,3,4	0.029	0.0148439427011	0:0.02168648792[&age_median=0.02168648792,age_mean=0.022500505889,age_n=29,age_range={0.00353095294,0.05939877372},age_hpdi_95={0.00353095294,0.0400068053},age_qi_95={0.005352771771,0.045824395826}],1:0.00450060385[&age_median=0.00450060385,age_mean=0.00431364231,age_n=29,age_range={0.00016531505,0.01323519838},age_hpdi_95={0.00016531505,0.01019942569},age_qi_95={0.000166649068,0.011110157497}],2:0.00227142955[&age_median=0.00227142955,age_mean=0.00350232235345,age_n=29,age_range={0.00042110951,0.01562863519},age_hpdi_95={0.00042110951,0.0112793281},age_qi_95={0.000440046141,0.012584120227}],3:0.01369593538[&age_median=0.01369593538,age_mean=0.0150355059752,age_n=29,age_range={0.00079882323,0.03248261504},age_hpdi_95={0.00312697109,0.03248261504},age_qi_95={0.002428526732,0.031412644061}],4:0.01197956465[&age_median=0.01197956465,age_mean=0.0120984281431,age_n=29,age_range={0.00297625549,0.02807398185},age_hpdi_95={0.00297625549,0.021388866},age_qi_95={0.003378252904,0.023394400755}]
0,1,2,3,4,4	0.023	0.0129274061587	0:0.01757498628[&age_median=0.01757498628,age_mean=0.0174539160191,age_n=23,age_range={0.00351614448,0.03248247546},age_hpdi_95={0.00587335573,0.03248247546},age_qi_95={0.0048126106675,0.031652235709}],1:0.00363837037[&age_median=0.00363837037,age_mean=0.00436733185261,age_n=23,age_range={2.726098e-05,0.01307019127},age_hpdi_95={2.726098e-05,0.01219421991},age_qi_95={0.00023965965,0.012588407022}],2:0.00516759407[&age_median=0.00516759407,age_mean=0.00601100258435,age_n=23,age_range={0.00034960415,0.0188069859},age_hpdi_95={0.00034960415,0.01159121441},age_qi_95={0.0004549988955,0.0148383115805}],3:0.00371295116[&age_median=0.00371295116,age_mean=0.00431832051217,age_n=23,age_range={0.00055823673,0.01765499812},age_hpdi_95={0.00055823673,0.01403385466},age_qi_95={0.000579845933,0.015663369217}],4:0.01074239231[&age_median=0.01074239231,age_mean=0.0118830225304,age_n=23,age_range={0.00140572648,0.02722978319},age_hpdi_95={0.00140572648,0.02231683213},age_qi_95={0.001627526971,0.024527660107}]
0,1,2,1,3,2	0.02	0.016096261099	0:0.018948694805[&age_median=0.018948694805,age_mean=0.0195684846415,age_n=20,age_range={0.00305278414,0.03734110735},age_hpdi_95={0.00305278414,0.03505829184},age_qi_95={0.0031892972875,0.0362567699827}],1:0.001992228825[&age_median=0.001992228825,age_mean=0.0029839859735,age_n=20,age_range={0.00025009288,0.00764256801},age_hpdi_95={0.00025009288,0.00738901855},age_qi_95={0.00032757271875,0.0075221320165}],2:0.010034541805[&age_median=0.010034541805,age_mean=0.009607560775,age_n=20,age_range={0.00218869085,0.01912986962},age_hpdi_95={0.00218869085,0.01569609725},age_qi_95={0.002634222002,0.0174988277442}],3:0.01621266996[&age_median=0.01621266996,age_mean=0.01670851095,age_n=20,age_range={0.00573630466,0.03040679286},age_hpdi_95={0.00573630466,0.02584315658},age_qi_95={0.00584888197325,0.028239065627}]
0,1,2,1,0,2	0.019	0.0166403537281	0:0.01945367609[&age_median=0.01945367609,age_mean=0.0202849464937,age_n=19,age_range={0.01353520168,0.03003319887},age_hpdi_95={0.01353520168,0.03003319887},age_qi_95={0.01375279027,0.0296819530935}],1:0.00357153828[&age_median=0.00357153828,age_mean=0.00343067729053,age_n=19,age_range={0.0002073066,0.01054002793},age_hpdi_95={0.0002073066,0.01054002793},age_qi_95={0.000261172635,0.008687277004}],2:0.00801829321[&age_median=0.00801829321,age_mean=0.00693977525842,age_n=19,age_range={4.613803e-05,0.01403323829},age_hpdi_95={4.613803e-05,0.01403323829},age_qi_95={0.0003732054505,0.013362132599}]
0,1,2,1,0,3	0.019	0.0142157946095	0:0.01549212917[&age_median=0.01549212917,age_mean=0.0158901089084,age_n=19,age_range={0.00321567597,0.02730796332},age_hpdi_95={0.00321567597,0.02730796332},age_qi_95={0.003544135281,0.026830327029}],1:0.00271675264[&age_median=0.00271675264,age_mean=0.00313496830632,age_n=19,age_range={5.348138e-05,0.00909382875},age_hpdi_95={5.348138e-05,0.00909382875},age_qi_95={5.7326603e-05,0.0081767058405}],2:0.00614594936[&age_median=0.00614594936,age_mean=0.00521362676947,age_n=19,age_range={3.618037e-05,0.01576721482},age_hpdi_95={3.618037e-05,0.01576721482},age_qi_95={0.0003019216375,0.0128538339865}],3:0.01187563378[&age_median=0.01187563378,age_mean=0.0117795235279,age_n=19,age_range={0.00200433668,0.02432664718},age_hpdi_95={0.00200433668,0.02432664718},age_qi_95={0.002094375713,0.024297423289}]
0,1,2,2,3,0	0.016	0.0174047544646	0:0.013837834705[&age_median=0.013837834705,age_mean=0.0141031065706,age_n=16,age_range={0.00230969816,0.02611151574},age_hpdi_95={0.00230969816,0.02611151574},age_qi_95={0.00242603357,0.02508479538}],1:0.004177227155[&age_median=0.004177227155,age_mean=0.00460624413438,age_n=16,age_range={0.00026221351,0.01376542413},age_hpdi_95={0.00026221351,0.01376542413},age_qi_95={0.00048004222375,0.0124417060538}],2:0.00510888938[&age_median=0.00510888938,age_mean=0.00598966385625,age_n=16,age_range={0.00054531555,0.01436082914},age_hpdi_95={0.00054531555,0.01436082914},age_qi_95={0.00118061448375,0.013218079175}],3:0.01264687588[&age_median=0.01264687588,age_mean=0.0121453764906,age_n=16,age_range={0.00441824546,0.02448599035},age_hpdi_95={0.00441824546,0.02448599035},age_qi_95={0.004609166915,0.0226871789013}]
0,1,2,3,4,2	0.016	0.0147419962043	0:0.017348660675[&age_median=0.017348660675,age_mean=0.0188759342313,age_n=16,age_range={0.00327940243,0.04553945972},age_hpdi_95={0.00327940243,0.04553945972},age_qi_95={0.00412964497,0.0392631119825}],1:0.00399596917[&age_median=0.00399596917,age_mean=0.0054339072425,age_n=16,age_range={0.00028338174,0.01356562276},age_hpdi_95={0.00028338174,0.01356562276},age_qi_95={0.00063847032,0.0129188553362}],2:0.006584358965[&age_median=0.006584358965,age_mean=0.00767106578125,age_n=16,age_range={0.00175747748,0.02318170376},age_hpdi_95={0.00175747748,0.02318170376},age_qi_95={0.0018451193675,0.0196903207963}],3:0.00286535523[&age_median=0.00286535523,age_mean=0.00284389846812,age_n=16,age_range={0.00022466675,0.0060573096},age_hpdi_95={0.00022466675,0.0060573096},age_qi_95={0.00039119259125,0.0058806990825}],4:0.01069990659[&age_median=0.01069990659,age_mean=0.0117571289713,age_n=16,age_range={0.00139185257,0.02642966122},age_hpdi_95={0.00139185257,0.02642966122},age_qi_95={0.0013928882975,0.02496063454}]
0,1,2,2,0,3	0.016	0.0179220285413	0:0.0170447357[&age_median=0.0170447357,age_mean=0.0187317111012,age_n=16,age_range={0.01058100109,0.02832163234},age_hpdi_95={0.01058100109,0.02832163234},age_qi_95={0.010599000295,0.0282550820725}],1:0.002555278105[&age_median=0.002555278105,age_mean=0.00307912019437,age_n=16,age_range={0.00013130632,0.00885120197},age_hpdi_95={0.00013130632,0.00885120197},age_qi_95={0.00019469822875,0.0077261027}],2:0.00380285869[&age_median=0.00380285869,age_mean=0.00405031967813,age_n=16,age_range={0.00132192426,0.00731945784},age_hpdi_95={0.00132192426,0.00731945784},age_qi_95={0.00156263173125,0.00721225642125}],3:0.01157966983[&age_median=0.01157966983,age_mean=0.0118930775944,age_n=16,age_range={0.00054827954,0.02112294639},age_hpdi_95={0.00054827954,0.02112294639},age_qi_95={0.00143111856875,0.0203699053163}]
0,1,2,3,0,4	0.016	0.0150934092345	0:0.01825103122[&age_median=0.01825103122,age_mean=0.0180116141669,age_n=16,age_range={0.00351251988,0.03391519149},age_hpdi_95={0.00351251988,0.03391519149},age_qi_95={0.00515081366625,0.0310958839575}],1:0.004540716735[&age_median=0.004540716735,age_mean=0.00685398677313,age_n=16,age_range={0.00021000956,0.02626277308},age_hpdi_95={0.00021000956,0.02626277308},age_qi_95={0.00061454424875,0.0243005705313}],2:0.00622504297[&age_median=0.00622504297,age_mean=0.00761635101312,age_n=16,age_range={0.00128290035,0.02017404116},age_hpdi_95={0.00128290035,0.02017404116},age_qi_95={0.001283322465,0.01822790216}],3:0.002160159385[&age_median=0.002160159385,age_mean=0.00373812753437,age_n=16,age_range={0.00051782256,0.01722328891},age_hpdi_95={0.00051782256,0.01722328891},age_qi_95={0.0005203309875,0.0148123835875}],4:0.00986167097[&age_median=0.00986167097,age_mean=0.0115324719256,age_n=16,age_range={0.00257901364,0.02231200248},age_hpdi_95={0.00257901364,0.02231200248},age_qi_95={0.00360440430625,0.02176064178}]
0,1,0,2,3,4	0.016	0.0182671599106	0:0.011298128435[&age_median=0.011298128435,age_mean=0.0120897298087,age_n=16,age_range={0.00419284218,0.02106201583},age_hpdi_95={0.00419284218,0.02106201583},age_qi_95={0.0049359994725,0.0204730508987}],1:0.00282367937[&age_median=0.00282367937,age_mean=0.00324415449375,age_n=16,age_range={7.262923e-05,0.00775671704},age_hpdi_95={7.262923e-05,0.00775671704},age_qi_95={0.00012934168375,0.0076174594775}],2:0.004428873425[&age_median=0.004428873425,age_mean=0.00445237043,age_n=16,age_range={0.0004623817,0.01022350817},age_hpdi_95={0.0004623817,0.01022350817},age_qi_95={0.00047359492,0.010211436095}],3:0.01131462542[&age_median=0.01131462542,age_mean=0.0118628902969,age_n=16,age_range={0.00569489553,0.02514181318},age_hpdi_95={0.00569489553,0.02514181318},age_qi_95={0.0057789264375,0.023587853695}],4:0.0111928008[&age_median=0.0111928008,age_mean=0.0112008391138,age_n=16,age_range={0.00314464249,0.01819758934},age_hpdi_95={0.00314464249,0.01819758934},age_qi_95={0.0035300524975,0.0176827044812}]
0,1,1,1,2,2	0.015	0.0153305284345	0:0.02333214361[&age_median=0.02333214361,age_mean=0.023995720544,age_n=15,age_range={0.00532655865,0.03806842872},age_hpdi_95={0.00532655865,0.03806842872},age_qi_95={0.00682720066,0.0372731636865}],1:0.00297673471[&age_median=0.00297673471,age_mean=0.00296191314467,age_n=15,age_range={0.00037846517,0.00649754848},age_hpdi_95={0.00037846517,0.00649754848},age_qi_95={0.0005081397955,0.0062493566165}],2:0.01205649107[&age_median=0.01205649107,age_mean=0.011405050752,age_n=15,age_range={0.00110921555,0.02303838377},age_hpdi_95={0.00110921555,0.02303838377},age_qi_95={0.0016578465,0.020584504769}]
