number	PRI.div.model	density	PRI.Psi	density	PRI.E.t	density	PRI.omega	density	PRI.cv	density
1	1	0.0114724	1	0.0433909	0.00184864	55.0927	0	12.3099	0	0.118367
2	1.18018	0.0116257	1.00501	0.0432578	0.00186746	56.1833	3.44952e-05	12.6667	0.00202106	0.119414
3	1.36036	0.0117773	1.01001	0.0431036	0.00188627	57.2852	6.89904e-05	13.0299	0.00404211	0.12041
4	1.54054	0.0119272	1.01502	0.0429285	0.00190509	58.3985	0.000103486	13.3995	0.00606317	0.121353
5	1.72072	0.0120752	1.02002	0.0427327	0.0019239	59.5231	0.000137981	13.7753	0.00808423	0.122242
6	1.9009	0.0122214	1.02503	0.0425166	0.00194271	60.6591	0.000172476	14.1575	0.0101053	0.123076
7	2.08108	0.0123657	1.03003	0.0422804	0.00196153	61.8064	0.000206971	14.5459	0.0121263	0.123853
8	2.26126	0.0125079	1.03504	0.0420246	0.00198034	62.9652	0.000241466	14.9406	0.0141474	0.124573
9	2.44144	0.0126481	1.04004	0.0417495	0.00199916	64.1353	0.000275962	15.3416	0.0161685	0.125234
10	2.62162	0.0127862	1.04505	0.0414555	0.00201797	65.3167	0.000310457	15.7489	0.0181895	0.125836
11	2.8018	0.012922	1.05005	0.0411431	0.00203679	66.5096	0.000344952	16.1623	0.0202106	0.126378
12	2.98198	0.0130557	1.05506	0.0408127	0.0020556	67.7139	0.000379447	16.582	0.0222316	0.126859
13	3.16216	0.013187	1.06006	0.0404649	0.00207442	68.9295	0.000413942	17.0079	0.0242527	0.127278
14	3.34234	0.013316	1.06507	0.0401002	0.00209323	70.1566	0.000448437	17.4399	0.0262737	0.127635
15	3.52252	0.0134427	1.07007	0.0397191	0.00211204	71.3951	0.000482933	17.8781	0.0282948	0.12793
16	3.7027	0.0135669	1.07508	0.0393221	0.00213086	72.645	0.000517428	18.3223	0.0303159	0.128162
17	3.88288	0.0136888	1.08008	0.0389098	0.00214967	73.9063	0.000551923	18.7726	0.0323369	0.128332
18	4.06306	0.0138081	1.08509	0.0384829	0.00216849	75.1791	0.000586418	19.2289	0.034358	0.128438
19	4.24324	0.013925	1.09009	0.038042	0.0021873	76.4633	0.000620913	19.6912	0.036379	0.128481
20	4.42342	0.0140393	1.0951	0.0375877	0.00220612	77.7589	0.000655409	20.1594	0.0384001	0.12846
21	4.6036	0.0141511	1.1001	0.0371206	0.00222493	79.0659	0.000689904	20.6335	0.0404211	0.128377
22	4.78378	0.0142604	1.10511	0.0366414	0.00224375	80.3845	0.000724399	21.1135	0.0424422	0.128232
23	4.96396	0.0143671	1.11011	0.0361508	0.00226256	81.7144	0.000758894	21.5992	0.0444633	0.128024
24	5.14414	0.0144713	1.11512	0.0356494	0.00228137	83.0558	0.000793389	22.0907	0.0464843	0.127754
25	5.32432	0.0145729	1.12012	0.0351381	0.00230019	84.4086	0.000827885	22.5879	0.0485054	0.127423
26	5.5045	0.014672	1.12513	0.0346174	0.002319	85.7729	0.00086238	23.0907	0.0505264	0.127031
27	5.68468	0.0147685	1.13013	0.034088	0.00233782	87.1487	0.000896875	23.599	0.0525475	0.126579
28	5.86486	0.0148624	1.13514	0.0335508	0.00235663	88.5359	0.00093137	24.1129	0.0545685	0.126069
29	6.04504	0.0149538	1.14014	0.0330064	0.00237545	89.9345	0.000965865	24.6321	0.0565896	0.1255
30	6.22522	0.0150427	1.14515	0.0324556	0.00239426	91.3446	0.00100036	25.1567	0.0586106	0.124874
31	6.40541	0.0151291	1.15015	0.0318991	0.00241308	92.7662	0.00103486	25.6866	0.0606317	0.124192
32	6.58559	0.015213	1.15516	0.0313375	0.00243189	94.1992	0.00106935	26.2217	0.0626528	0.123454
33	6.76577	0.0152944	1.16016	0.0307718	0.0024507	95.6437	0.00110385	26.762	0.0646738	0.122664
34	6.94595	0.0153734	1.16517	0.0302025	0.00246952	97.0996	0.00113834	27.3072	0.0666949	0.12182
35	7.12613	0.0154501	1.17017	0.0296304	0.00248833	98.5669	0.00117284	27.8574	0.0687159	0.120926
36	7.30631	0.0155243	1.17518	0.0290562	0.00250715	100.046	0.00120733	28.4125	0.070737	0.119982
37	7.48649	0.0155962	1.18018	0.0284807	0.00252596	101.536	0.00124183	28.9723	0.072758	0.118991
38	7.66667	0.0156658	1.18519	0.0279045	0.00254478	103.038	0.00127632	29.5368	0.0747791	0.117953
39	7.84685	0.0157332	1.19019	0.0273284	0.00256359	104.551	0.00131082	30.1058	0.0768002	0.11687
40	8.02703	0.0157984	1.1952	0.0267531	0.00258241	106.076	0.00134531	30.6793	0.0788212	0.115744
41	8.20721	0.0158613	1.2002	0.0261793	0.00260122	107.612	0.00137981	31.2571	0.0808423	0.114576
42	8.38739	0.0159222	1.20521	0.0256077	0.00262003	109.159	0.0014143	31.8391	0.0828633	0.113369
43	8.56757	0.015981	1.21021	0.0250389	0.00263885	110.718	0.0014488	32.4253	0.0848844	0.112125
44	8.74775	0.0160377	1.21522	0.0244736	0.00265766	112.288	0.00148329	33.0154	0.0869054	0.110844
45	8.92793	0.0160925	1.22022	0.0239124	0.00267648	113.87	0.00151779	33.6094	0.0889265	0.10953
46	9.10811	0.0161453	1.22523	0.0233561	0.00269529	115.464	0.00155228	34.207	0.0909476	0.108183
47	9.28829	0.0161963	1.23023	0.0228053	0.00271411	117.068	0.00158678	34.8083	0.0929686	0.106807
48	9.46847	0.0162455	1.23524	0.0222606	0.00273292	118.684	0.00162127	35.413	0.0949897	0.105402
49	9.64865	0.0162928	1.24024	0.0217226	0.00275174	120.312	0.00165577	36.0209	0.0970107	0.103972
50	9.82883	0.0163385	1.24525	0.0211919	0.00277055	121.951	0.00169026	36.632	0.0990318	0.102517
51	10.009	0.0163825	1.25025	0.0206691	0.00278936	123.601	0.00172476	37.2461	0.101053	0.101041
52	10.1892	0.0164249	1.25526	0.0201548	0.00280818	125.263	0.00175925	37.863	0.103074	0.0995441
53	10.3694	0.0164657	1.26026	0.0196495	0.00282699	126.936	0.00179375	38.4826	0.105095	0.0980296
54	10.5495	0.0165051	1.26527	0.0191539	0.00284581	128.62	0.00182824	39.1046	0.107116	0.0964992
55	10.7297	0.016543	1.27027	0.0186685	0.00286462	130.316	0.00186274	39.7289	0.109137	0.0949549
56	10.9099	0.0165795	1.27528	0.0181938	0.00288344	132.023	0.00189724	40.3554	0.111158	0.0933988
57	11.0901	0.0166147	1.28028	0.0177303	0.00290225	133.741	0.00193173	40.9837	0.113179	0.0918329
58	11.2703	0.0166486	1.28529	0.0172786	0.00292107	135.47	0.00196623	41.6139	0.1152	0.090259
59	11.4504	0.0166813	1.29029	0.0168391	0.00293988	137.211	0.00200072	42.2455	0.117221	0.0886793
60	11.6306	0.0167128	1.2953	0.0164124	0.00295869	138.962	0.00203522	42.8786	0.119242	0.0870956
61	11.8108	0.0167431	1.3003	0.0159989	0.00297751	140.725	0.00206971	43.5128	0.121263	0.0855099
62	11.991	0.0167724	1.30531	0.0155991	0.00299632	142.499	0.00210421	44.1479	0.123284	0.0839241
63	12.1712	0.0168006	1.31031	0.0152135	0.00301514	144.283	0.0021387	44.7837	0.125306	0.0823399
64	12.3514	0.0168279	1.31532	0.0148425	0.00303395	146.078	0.0021732	45.42	0.127327	0.0807593
65	12.5315	0.0168542	1.32032	0.0144865	0.00305277	147.884	0.00220769	46.0567	0.129348	0.079184
66	12.7117	0.0168796	1.32533	0.0141461	0.00307158	149.701	0.00224219	46.6934	0.131369	0.0776158
67	12.8919	0.0169042	1.33033	0.0138216	0.0030904	151.527	0.00227668	47.3299	0.13339	0.0760563
68	13.0721	0.0169279	1.33534	0.0135135	0.00310921	153.364	0.00231118	47.966	0.135411	0.0745073
69	13.2523	0.0169508	1.34034	0.0132222	0.00312802	155.212	0.00234567	48.6014	0.137432	0.0729703
70	13.4324	0.016973	1.34535	0.0129481	0.00314684	157.069	0.00238017	49.236	0.139453	0.0714468
71	13.6126	0.0169945	1.35035	0.0126916	0.00316565	158.935	0.00241466	49.8695	0.141474	0.0699385
72	13.7928	0.0170153	1.35536	0.0124531	0.00318447	160.811	0.00244916	50.5015	0.143495	0.0684467
73	13.973	0.0170355	1.36036	0.012233	0.00320328	162.697	0.00248365	51.132	0.145516	0.0669728
74	14.1532	0.017055	1.36537	0.0120317	0.0032221	164.591	0.00251815	51.7605	0.147537	0.0655183
75	14.3333	0.0170739	1.37037	0.0118496	0.00324091	166.494	0.00255264	52.387	0.149558	0.0640844
76	14.5135	0.0170922	1.37538	0.0116871	0.00325973	168.406	0.00258714	53.011	0.151579	0.0626724
77	14.6937	0.01711	1.38038	0.0115446	0.00327854	170.325	0.00262163	53.6324	0.1536	0.0612834
78	14.8739	0.0171272	1.38539	0.0114224	0.00329735	172.252	0.00265613	54.2508	0.155621	0.0599185
79	15.0541	0.0171439	1.39039	0.011321	0.00331617	174.186	0.00269062	54.8661	0.157642	0.0585789
80	15.2342	0.01716	1.3954	0.0112407	0.00333498	176.128	0.00272512	55.4779	0.159663	0.0572655
81	15.4144	0.0171757	1.4004	0.011182	0.0033538	178.075	0.00275961	56.0861	0.161685	0.0559793
82	15.5946	0.0171909	1.40541	0.0111451	0.00337261	180.029	0.00279411	56.6902	0.163706	0.0547213
83	15.7748	0.0172055	1.41041	0.0111306	0.00339143	181.988	0.00282861	57.2901	0.165727	0.0534921
84	15.955	0.0172197	1.41542	0.0111387	0.00341024	183.952	0.0028631	57.8855	0.167748	0.0522927
85	16.1351	0.0172334	1.42042	0.0111698	0.00342905	185.92	0.0028976	58.4761	0.169769	0.0511237
86	16.3153	0.0172466	1.42543	0.0112244	0.00344787	187.892	0.00293209	59.0617	0.17179	0.0499858
87	16.4955	0.0172593	1.43043	0.0113028	0.00346668	189.867	0.00296659	59.642	0.173811	0.0488797
88	16.6757	0.0172715	1.43544	0.0114055	0.0034855	191.845	0.00300108	60.2167	0.175832	0.0478058
89	16.8559	0.0172832	1.44044	0.0115327	0.00350431	193.824	0.00303558	60.7855	0.177853	0.0467647
