PRI.div.model	PRI.t.1	PRI.t.2	PRI.t.3	PRI.t.4	PRI.t.5	PRI.t.6	PRI.d1Theta.1	PRI.d1Theta.2	PRI.d1Theta.3	PRI.d1Theta.4	PRI.d1Theta.5	PRI.d1Theta.6	PRI.d2Theta.1	PRI.d2Theta.2	PRI.d2Theta.3	PRI.d2Theta.4	PRI.d2Theta.5	PRI.d2Theta.6	PRI.aTheta.1	PRI.aTheta.2	PRI.aTheta.3	PRI.aTheta.4	PRI.aTheta.5	PRI.aTheta.6	PRI.model	PRI.Psi	PRI.var.t	PRI.E.t	PRI.omega	PRI.cv	pi.1	pi.2	pi.3	pi.4	pi.5	pi.6	wattTheta.1	wattTheta.2	wattTheta.3	wattTheta.4	wattTheta.5	wattTheta.6	pi.net.1	pi.net.2	pi.net.3	pi.net.4	pi.net.5	pi.net.6	tajD.denom.1	tajD.denom.2	tajD.denom.3	tajD.denom.4	tajD.denom.5	tajD.denom.6
60	0.00808699635	0.00808699635	0.00038038583	0.00038038583	0.01321764002	0.00808699635	0.011896	0.002867	0.006294	0.001763	0.002570	0.010505	0.011896	0.002867	0.006294	0.001763	0.002570	0.010505	0.011896	0.002867	0.006294	0.001763	0.002570	0.010505	1	3	2.54970592641576e-05	0.006373233455	0.00400064730786761	0.792291906487024	0.024298	0.002623	0.003876	0.001996	0.015261	0.009278	0.029822	0.003457	0.004398	0.003485	0.010942	0.012629	0.013207	0.003567	0.000027	0.000445	0.026805	0.013618	0.051238	0.018119	0.018377	0.019919	0.031521	0.032264
37	0.00989773258	0.00545068615	0.00656733838	0.00029669215	0.01390251285	0.00989773258	0.008869	0.003700	0.002289	0.001946	0.004100	0.003173	0.008869	0.003700	0.002289	0.001946	0.004100	0.003173	0.008869	0.003700	0.002289	0.001946	0.004100	0.003173	1	5	2.18553355381408e-05	0.00766878244833333	0.0028499094459109	0.609610335526717	0.028758	0.005593	0.003414	0.000965	0.017229	0.006752	0.028675	0.005186	0.005278	0.002144	0.014730	0.007668	0.021075	0.004737	0.011557	0.001095	0.024086	0.017744	0.050222	0.022204	0.020137	0.015618	0.036622	0.025093
27	0.00945726795	0.00945726795	0.00945726795	0.00945726795	0.00945726795	0.00945726795	0.005664	0.000770	0.003996	0.001692	0.006480	0.004566	0.005664	0.000770	0.003996	0.001692	0.006480	0.004566	0.005664	0.000770	0.003996	0.001692	0.006480	0.004566	1	1	0	0.00945726795	0	0	0.032231	0.009194	0.004209	0.008900	0.017581	0.009305	0.036704	0.006050	0.006158	0.006165	0.016834	0.010825	0.034809	0.014425	0.011152	0.016427	0.021489	0.013743	0.056986	0.023991	0.021758	0.026518	0.039181	0.029850
32	0.01521175382	0.00396011982	0.01521175382	0.00396011982	0.01847880924	0.00774783702	0.015061	0.002163	0.004256	0.001444	0.002837	0.005071	0.015061	0.002163	0.004256	0.001444	0.002837	0.005071	0.015061	0.002163	0.004256	0.001444	0.002837	0.005071	1	4	4.01532177939592e-05	0.0107617322566667	0.00373111101784614	0.588813819380292	0.030666	0.006639	0.004902	0.002686	0.018931	0.007674	0.041292	0.005186	0.006158	0.002681	0.012626	0.008119	0.008813	0.010855	0.020529	0.005083	0.033049	0.014547	0.060544	0.022204	0.021758	0.017465	0.033879	0.025824
5	0.01111873181	0.00105071297	0.00663215762	0.00060679644	0.01627904589	0.01627904589	0.008285	0.005269	0.004024	0.003427	0.008209	0.005419	0.008285	0.005269	0.004024	0.003427	0.008209	0.005419	0.008285	0.005269	0.004024	0.003427	0.008209	0.005419	1	5	4.98025114083693e-05	0.00866108177	0.00575014908424878	0.814804620316187	0.031310	0.001371	0.005749	0.001516	0.023937	0.006609	0.027528	0.004322	0.007037	0.003485	0.020622	0.009472	0.017966	0.000000	0.010978	0.001181	0.031669	0.026507	0.049187	0.020264	0.023269	0.019919	0.043425	0.027908
5	0.00587335573	0.00104440414	0.00976036753	0.00666861335	0.00776515021	0.00776515021	0.009331	0.001779	0.001302	0.003191	0.005246	0.007514	0.009331	0.001779	0.001302	0.003191	0.005246	0.007514	0.009331	0.001779	0.001302	0.003191	0.005246	0.007514	1	5	8.80266528333262e-06	0.00647950686166667	0.00135853938752808	0.457894197441925	0.034250	0.003334	0.005082	0.006115	0.016536	0.007473	0.026381	0.002593	0.006158	0.004825	0.013468	0.013531	0.029826	0.002085	0.013626	0.015540	0.016851	0.004289	0.048131	0.015686	0.021758	0.023449	0.035001	0.033407
79	0.00309074104	0.00668495127	0.00668495127	0.01195623079	0.01195623079	0.01195623079	0.016740	0.000523	0.003737	0.002546	0.009222	0.003161	0.016740	0.000523	0.003737	0.002546	0.009222	0.003161	0.016740	0.000523	0.003737	0.002546	0.009222	0.003161	1	3	1.42781915514922e-05	0.00872155599166667	0.00163711516214937	0.433254047610363	0.021213	0.003402	0.006686	0.007157	0.023056	0.008346	0.029822	0.001729	0.007917	0.006433	0.016414	0.009923	0.004667	0.004632	0.004429	0.018633	0.039452	0.017905	0.051238	0.012804	0.024688	0.027091	0.038682	0.028569
47	0.01022626562	0.00471747007	0.00471747007	0.00471747007	0.01022626562	0.01022626562	0.007398	0.002617	0.002445	0.001262	0.007868	0.006956	0.007398	0.002617	0.002445	0.001262	0.007868	0.006956	0.007398	0.002617	0.002445	0.001262	0.007868	0.006956	1	2	9.10404852350992e-06	0.007471867845	0.00121844346184497	0.403820256194464	0.025629	0.007328	0.005313	0.003880	0.013863	0.010602	0.025234	0.004322	0.003519	0.003217	0.015572	0.013531	0.018403	0.011104	0.000000	0.008990	0.013039	0.022895	0.047053	0.020264	0.016431	0.019135	0.037665	0.033407
25	0.00765866786	0.00439927329	0.00273989053	0.00273989053	0.00439927329	0.00765866786	0.008663	0.003489	0.004869	0.001601	0.003788	0.001927	0.008663	0.003489	0.004869	0.001601	0.003788	0.001927	0.008663	0.003489	0.004869	0.001601	0.003788	0.001927	1	3	5.00954327056702e-06	0.00493261056	0.00101559675340901	0.453755850614628	0.019128	0.002236	0.006032	0.002597	0.009575	0.004740	0.030969	0.002593	0.007037	0.004021	0.010522	0.006766	0.005788	0.003587	0.003372	0.003282	0.008979	0.016688	0.052236	0.015686	0.023269	0.021400	0.030904	0.023562
137	0.00939250564	0.00939250564	0.00936004086	0.00939250564	0.01172960052	0.00936004086	0.012401	0.006637	0.001198	0.001447	0.007151	0.002825	0.012401	0.006637	0.001198	0.001447	0.007151	0.002825	0.012401	0.006637	0.001198	0.001447	0.007151	0.002825	1	3	9.20732905686878e-07	0.00977119986	9.42292572948025e-05	0.0982016841177406	0.016886	0.005428	0.006160	0.006034	0.016399	0.006578	0.029822	0.006050	0.006158	0.004825	0.012626	0.008570	0.006388	0.006123	0.019164	0.013212	0.021070	0.024331	0.051238	0.023991	0.021758	0.023449	0.033879	0.026537
11	0.01185652512	0.00089734426	0.00731945784	0.00731945784	0.01185652512	0.00290251695	0.008242	0.002623	0.005503	0.001702	0.007856	0.004567	0.008242	0.002623	0.005503	0.001702	0.007856	0.004567	0.008242	0.002623	0.005503	0.001702	0.007856	0.004567	1	4	2.02807423237097e-05	0.00702530452166667	0.00288681327067917	0.641027659999554	0.029091	0.001843	0.005647	0.007570	0.016478	0.007891	0.025234	0.003457	0.006158	0.005897	0.013468	0.009923	0.019541	0.000498	0.012176	0.009732	0.024448	0.009363	0.047053	0.018119	0.021758	0.025933	0.035001	0.028569
24	0.01047856024	0.00315728364	0.00315728364	0.00231932275	0.01237261797	0.01047856024	0.011430	0.001921	0.003917	0.003348	0.004395	0.007166	0.011430	0.001921	0.003917	0.003348	0.004395	0.007166	0.011430	0.001921	0.003917	0.003348	0.004395	0.007166	1	4	2.09014487244862e-05	0.00699393808	0.002988509261221	0.653681827280853	0.026650	0.009968	0.004851	0.003679	0.024303	0.007774	0.029822	0.007779	0.006158	0.003485	0.016414	0.009923	0.017044	0.017483	0.002721	0.002979	0.041688	0.019581	0.051238	0.027220	0.021758	0.019919	0.038682	0.028569
31	0.01162517604	0.00214627954	0.01247693643	0.01247693643	0.01162517604	0.00214627954	0.009173	0.002993	0.007482	0.001695	0.002726	0.008544	0.009173	0.002993	0.007482	0.001695	0.002726	0.008544	0.009173	0.002993	0.007482	0.001695	0.002726	0.008544	1	3	2.63063261864786e-05	0.00874946400333333	0.00300662145434926	0.586203830130933	0.024941	0.000973	0.008162	0.005395	0.018405	0.008050	0.029822	0.002593	0.013195	0.006165	0.013468	0.009923	0.006942	0.000000	0.012426	0.012504	0.032427	0.005234	0.051238	0.015686	0.031938	0.026518	0.035001	0.028569
114	0.00862314447	0.00523093833	0.00872644343	0.00662306594	0.00523093833	0.00662306594	0.007461	0.004774	0.002585	0.003640	0.007098	0.005830	0.007461	0.004774	0.002585	0.003640	0.007098	0.005830	0.007461	0.004774	0.002585	0.003640	0.007098	0.005830	1	4	2.40210021964019e-06	0.00684293274	0.000351033732305863	0.226492220823481	0.020503	0.003408	0.011242	0.009001	0.020325	0.008685	0.027528	0.004322	0.007917	0.007506	0.018518	0.013080	0.012047	0.000863	0.009736	0.012414	0.013463	0.010951	0.049187	0.020264	0.024688	0.029272	0.041118	0.032840
30	0.00647871286	0.00235643774	0.00056230373	0.00056230373	0.00647871286	0.00647871286	0.009756	0.002273	0.004967	0.002621	0.005257	0.002411	0.009756	0.002273	0.004967	0.002621	0.005257	0.002411	0.009756	0.002273	0.004967	0.002621	0.005257	0.002411	1	3	8.91468907159582e-06	0.00381953063	0.00233397501818066	0.781705383798093	0.017441	0.005217	0.003927	0.002138	0.018671	0.007017	0.022940	0.003457	0.007037	0.003753	0.015993	0.008119	0.009948	0.006805	0.000669	0.001508	0.018255	0.017851	0.044826	0.018119	0.023269	0.020672	0.038177	0.025824
24	0.01544547622	0.00337221105	0.00337221105	0.00212955761	0.01330517308	0.01544547622	0.009905	0.001947	0.005247	0.002418	0.001545	0.002628	0.009905	0.001947	0.005247	0.002418	0.001545	0.002628	0.009905	0.001947	0.005247	0.002418	0.001545	0.002628	1	4	4.24051441678351e-05	0.00884501753833333	0.00479424082361124	0.736225021927357	0.031176	0.003465	0.005621	0.004087	0.017387	0.009072	0.028675	0.004322	0.008797	0.004021	0.009680	0.010825	0.016820	0.002477	0.000931	0.002466	0.033962	0.026579	0.050222	0.020264	0.026033	0.021400	0.029633	0.029850
53	0.02443558474	0.00394689663	0.00394689663	0.00394689663	0.00394689663	0.01111603625	0.009099	0.001925	0.005608	0.005746	0.005522	0.003587	0.009099	0.001925	0.005608	0.005746	0.005522	0.003587	0.009099	0.001925	0.005608	0.005746	0.005522	0.003587	1	3	6.87380661805699e-05	0.008556534585	0.0080334001455532	0.968948611836669	0.033750	0.002828	0.002438	0.007244	0.013484	0.008892	0.033263	0.004322	0.005278	0.008846	0.013468	0.010825	0.023574	0.003147	0.004465	0.004652	0.014978	0.032571	0.054181	0.020264	0.020137	0.031793	0.035001	0.029850
10	0.02147198040	0.00253951626	0.00837753935	0.00092310559	0.01968222672	0.00837753935	0.007743	0.004840	0.001973	0.004086	0.003409	0.003731	0.007743	0.004840	0.001973	0.004086	0.003409	0.003731	0.007743	0.004840	0.001973	0.004086	0.003409	0.003731	1	5	7.36703493999312e-05	0.0102286512783333	0.00720235223542934	0.839127573624336	0.035481	0.003880	0.003901	0.002405	0.025116	0.008754	0.028675	0.005186	0.005278	0.005361	0.015572	0.011276	0.033496	0.002786	0.016166	0.002088	0.043341	0.018622	0.050222	0.022204	0.020137	0.024722	0.037665	0.030471
