divergence_model	estimated_prob	glm_adjusted_prob	div_model_with_conditional_age_estimates
0,1,2,3,4,5	0.06	0.00245995527274	0:0.022329918945[&age_median=0.022329918945,age_mean=0.0211510485638,age_n=60,age_range={0.00056976066,0.04114540307},age_hpdi_95={0.00621069437,0.03547407019},age_qi_95={0.0043188386525,0.0353378253938}],1:0.003779797015[&age_median=0.003779797015,age_mean=0.004547503664,age_n=60,age_range={0.00021179353,0.02176782155},age_hpdi_95={0.00021179353,0.01201746715},age_qi_95={0.00027569315875,0.0154772876427}],2:0.00507648435[&age_median=0.00507648435,age_mean=0.0065720661055,age_n=60,age_range={3.925773e-05,0.02310050794},age_hpdi_95={3.925773e-05,0.01679720555},age_qi_95={0.00010200946,0.0202520617865}],3:0.00313866406[&age_median=0.00313866406,age_mean=0.00421047629517,age_n=60,age_range={4.98494e-06,0.01428231303},age_hpdi_95={4.98494e-06,0.01176505467},age_qi_95={0.00012520231675,0.0130837716878}],4:0.01179506182[&age_median=0.01179506182,age_mean=0.0131993066017,age_n=60,age_range={0.00083134708,0.03532537405},age_hpdi_95={0.00083134708,0.02792827488},age_qi_95={0.00206759727475,0.0321490158535}],5:0.01067803316[&age_median=0.01067803316,age_mean=0.0114735222842,age_n=60,age_range={0.00044422341,0.03053970653},age_hpdi_95={0.00044422341,0.02222567082},age_qi_95={0.0016692524495,0.025820757266}]
0,1,2,1,3,4	0.029	0.00533298014203	0:0.02317795867[&age_median=0.02317795867,age_mean=0.0226766526472,age_n=29,age_range={0.00473775545,0.04949520975},age_hpdi_95={0.00473775545,0.04372924239},age_qi_95={0.004758886077,0.045459032598}],1:0.00210920625[&age_median=0.00210920625,age_mean=0.00308261296552,age_n=29,age_range={0.00015178594,0.00832507802},age_hpdi_95={0.00015178594,0.00750253917},age_qi_95={0.000294881109,0.007749300825}],2:0.00556009844[&age_median=0.00556009844,age_mean=0.00704081627655,age_n=29,age_range={0.0004032273,0.01720460468},age_hpdi_95={0.0004032273,0.01691414293},age_qi_95={0.000492297344,0.017001281455}],3:0.01237664141[&age_median=0.01237664141,age_mean=0.0126309131641,age_n=29,age_range={0.00233720315,0.03136188029},age_hpdi_95={0.00233720315,0.0258682919},age_qi_95={0.002872448427,0.027516368417}],4:0.01414279279[&age_median=0.01414279279,age_mean=0.0134066186724,age_n=29,age_range={0.00325915459,0.02592203015},age_hpdi_95={0.00325915459,0.0244538623},age_qi_95={0.004039350349,0.024894312655}]
0,1,2,3,4,4	0.028	0.00588845148452	0:0.01947311782[&age_median=0.01947311782,age_mean=0.0211551608336,age_n=28,age_range={0.00508803335,0.04000980673},age_hpdi_95={0.00922823442,0.04000980673},age_qi_95={0.00788266907225,0.038534899519}],1:0.00336286551[&age_median=0.00336286551,age_mean=0.00499460982607,age_n=28,age_range={0.00017677499,0.01772066148},age_hpdi_95={0.00017677499,0.01355791363},age_qi_95={0.000195503486,0.0149108066812}],2:0.00566038821[&age_median=0.00566038821,age_mean=0.00632142590143,age_n=28,age_range={0.00059834419,0.01752183181},age_hpdi_95={0.00059834419,0.01659470319},age_qi_95={0.000875869522,0.0168960199915}],3:0.004501222655[&age_median=0.004501222655,age_mean=0.00493653932214,age_n=28,age_range={1.236215e-05,0.01216798527},age_hpdi_95={1.236215e-05,0.01119515334},age_qi_95={4.634634125e-05,0.0115113237172}],4:0.01274107767[&age_median=0.01274107767,age_mean=0.0119113923893,age_n=28,age_range={0.00196377365,0.01915673006},age_hpdi_95={0.00196377365,0.01840325034},age_qi_95={0.00219612401975,0.018648131249}]
0,1,1,2,3,4	0.026	0.00533131671342	0:0.02062461552[&age_median=0.02062461552,age_mean=0.0223663724131,age_n=26,age_range={0.00628140409,0.0432381917},age_hpdi_95={0.00628140409,0.0383086848},age_qi_95={0.007276502415,0.0401572498875}],1:0.002631278235[&age_median=0.002631278235,age_mean=0.00371277803962,age_n=26,age_range={0.00064523033,0.00889877834},age_hpdi_95={0.00064523033,0.00861227861},age_qi_95={0.00076204066125,0.00871971600875}],2:0.00311293636[&age_median=0.00311293636,age_mean=0.00487079434885,age_n=26,age_range={0.00033715755,0.01432532224},age_hpdi_95={0.00033715755,0.01383456071},age_qi_95={0.00041821449375,0.0140185962838}],3:0.015272381625[&age_median=0.015272381625,age_mean=0.0160375023315,age_n=26,age_range={0.00142591211,0.03118514706},age_hpdi_95={0.00367688124,0.03118514706},age_qi_95={0.00283276781625,0.0307760443037}],4:0.012558608615[&age_median=0.012558608615,age_mean=0.0121727303519,age_n=26,age_range={0.00196418618,0.03065411693},age_hpdi_95={0.00196418618,0.02348139767},age_qi_95={0.00199737939875,0.0261711673925}]
0,1,2,3,4,1	0.025	0.00690110129739	0:0.02269689271[&age_median=0.02269689271,age_mean=0.0223402346204,age_n=25,age_range={0.00637976385,0.04643848322},age_hpdi_95={0.00637976385,0.03567439664},age_qi_95={0.008877898062,0.039980031272}],1:0.00450386889[&age_median=0.00450386889,age_mean=0.0055961845568,age_n=25,age_range={3.388665e-05,0.01329376858},age_hpdi_95={3.388665e-05,0.01271991351},age_qi_95={0.000301165962,0.012949455538}],2:0.00506180731[&age_median=0.00506180731,age_mean=0.0063303473376,age_n=25,age_range={0.001241157,0.02171012218},age_hpdi_95={0.001241157,0.01436618259},age_qi_95={0.001435776888,0.017303758426}],3:0.00546210553[&age_median=0.00546210553,age_mean=0.0050525760068,age_n=25,age_range={3.254736e-05,0.01117451148},age_hpdi_95={3.254736e-05,0.00931402398},age_qi_95={0.00015691383,0.01005821898}],4:0.01383999894[&age_median=0.01383999894,age_mean=0.0148225558788,age_n=25,age_range={0.00393286674,0.02824785392},age_hpdi_95={0.00393286674,0.02662446295},age_qi_95={0.00433516995,0.027273819338}]
0,1,2,1,3,3	0.021	0.0074384587778	0:0.02419672327[&age_median=0.02419672327,age_mean=0.023494935799,age_n=21,age_range={0.0032532064,0.04063589096},age_hpdi_95={0.00961992585,0.04063589096},age_qi_95={0.006436566125,0.03782279591}],1:0.00241822457[&age_median=0.00241822457,age_mean=0.00295079434952,age_n=21,age_range={0.00017305104,0.00686334615},age_hpdi_95={0.00017305104,0.00679662572},age_qi_95={0.000175446425,0.006829985935}],2:0.00717312285[&age_median=0.00717312285,age_mean=0.00705918162667,age_n=21,age_range={5.954349e-05,0.01384345609},age_hpdi_95={0.00089177593,0.01384345609},age_qi_95={0.00047565971,0.013516918875}],3:0.01314666488[&age_median=0.01314666488,age_mean=0.0112135745262,age_n=21,age_range={0.00066764772,0.02941267655},age_hpdi_95={0.00066764772,0.01753825916},age_qi_95={0.000854303155,0.023475467855}]
0,1,2,3,0,4	0.021	0.00795727515761	0:0.01877747169[&age_median=0.01877747169,age_mean=0.0194071056795,age_n=21,age_range={0.00960223741,0.0309939327},age_hpdi_95={0.01233438224,0.0309939327},age_qi_95={0.010968309825,0.030391276365}],1:0.00400889445[&age_median=0.00400889445,age_mean=0.00495924365286,age_n=21,age_range={0.00027569852,0.01287594156},age_hpdi_95={0.00071120904,0.01287594156},age_qi_95={0.00049345378,0.012813866285}],2:0.00741327141[&age_median=0.00741327141,age_mean=0.00625871347,age_n=21,age_range={2.149524e-05,0.01214954337},age_hpdi_95={2.149524e-05,0.0110820703},age_qi_95={0.00014166381,0.011615806835}],3:0.00356886457[&age_median=0.00356886457,age_mean=0.0037423781119,age_n=21,age_range={0.00025191557,0.01395779043},age_hpdi_95={0.00025191557,0.00904758869},age_qi_95={0.00029177689,0.01150268956}],4:0.01182162179[&age_median=0.01182162179,age_mean=0.0118976569529,age_n=21,age_range={0.0005393295,0.02854063732},age_hpdi_95={0.0005393295,0.02491220594},age_qi_95={0.000778195365,0.02672642163}]
0,1,2,1,0,3	0.021	0.00700991929516	0:0.02353349667[&age_median=0.02353349667,age_mean=0.0202202664457,age_n=21,age_range={0.00239387946,0.03160508679},age_hpdi_95={0.00654589489,0.03160508679},age_qi_95={0.004469887175,0.0314373095}],1:0.00144515967[&age_median=0.00144515967,age_mean=0.00344715365857,age_n=21,age_range={3.366341e-05,0.01092439055},age_hpdi_95={3.366341e-05,0.00953269672},age_qi_95={0.000126297515,0.010228543635}],2:0.00640514591[&age_median=0.00640514591,age_mean=0.00840848770095,age_n=21,age_range={0.00055982589,0.02429696234},age_hpdi_95={0.00055982589,0.02264348426},age_qi_95={0.00061638299,0.0234702233}],3:0.00872382563[&age_median=0.00872382563,age_mean=0.00895708461095,age_n=21,age_range={0.00099265393,0.02030034506},age_hpdi_95={0.00099265393,0.01854979914},age_qi_95={0.0014276821,0.0194250721}]
0,1,2,3,1,4	0.02	0.00884083765735	0:0.022912784415[&age_median=0.022912784415,age_mean=0.021783822085,age_n=20,age_range={0.00299774836,0.04042016549},age_hpdi_95={0.00299774836,0.03047587013},age_qi_95={0.004967007692,0.035696625194}],1:0.006357011295[&age_median=0.006357011295,age_mean=0.0073295046105,age_n=20,age_range={0.00089199783,0.01563253301},age_hpdi_95={0.00183423461,0.01563253301},age_qi_95={0.0013395603005,0.0152752404468}],2:0.009006040705[&age_median=0.009006040705,age_mean=0.008357253303,age_n=20,age_range={0.00076730891,0.01972643823},age_hpdi_95={0.00076730891,0.01618717179},age_qi_95={0.001185242296,0.018045286671}],3:0.002929421735[&age_median=0.002929421735,age_mean=0.0050133671485,age_n=20,age_range={0.00041369334,0.02215476861},age_hpdi_95={0.00041369334,0.01206716228},age_qi_95={0.00069290910825,0.0173631556032}],4:0.007888038495[&age_median=0.007888038495,age_mean=0.008447040401,age_n=20,age_range={0.00239655891,0.02871114926},age_hpdi_95={0.00239655891,0.01338299963},age_qi_95={0.0026253400475,0.0214302781857}]
0,1,2,2,3,4	0.017	0.00927566314916	0:0.02124026244[&age_median=0.02124026244,age_mean=0.0223154201476,age_n=17,age_range={0.01216626355,0.03436340307},age_hpdi_95={0.01216626355,0.03436340307},age_qi_95={0.012736433886,0.034177840734}],1:0.00205643779[&age_median=0.00205643779,age_mean=0.00358184266824,age_n=17,age_range={7.350752e-05,0.01749529621},age_hpdi_95={7.350752e-05,0.01749529621},age_qi_95={7.4716776e-05,0.01430991527}],2:0.00314546214[&age_median=0.00314546214,age_mean=0.00370666668294,age_n=17,age_range={0.00119757751,0.01050523495},age_hpdi_95={0.00119757751,0.01050523495},age_qi_95={0.001209697218,0.008960627106}],3:0.01514173899[&age_median=0.01514173899,age_mean=0.0163804235541,age_n=17,age_range={0.00563802562,0.04094462956},age_hpdi_95={0.00563802562,0.04094462956},age_qi_95={0.0059952297,0.037510261008}],4:0.00829794925[&age_median=0.00829794925,age_mean=0.00888268529824,age_n=17,age_range={0.00043534513,0.01918612952},age_hpdi_95={0.00043534513,0.01918612952},age_qi_95={0.000754622862,0.017620888212}]
