number	PRI.div.model	density	PRI.Psi	density	PRI.E.t	density	PRI.omega	density	PRI.cv	density
1	1	0.00459632	1	0.524491	0.000586488	99.6706	0	117.264	0	1.27787
2	1.17518	0.00468291	1.00501	0.522534	0.000605483	100.611	3.58897e-05	118.934	0.00199999	1.28376
3	1.35035	0.00476981	1.01001	0.520322	0.000624479	101.529	7.17794e-05	120.579	0.00399998	1.28901
4	1.52553	0.00485698	1.01502	0.517859	0.000643475	102.425	0.000107669	122.195	0.00599996	1.2936
5	1.7007	0.00494441	1.02002	0.515148	0.00066247	103.299	0.000143559	123.783	0.00799995	1.29755
6	1.87588	0.00503205	1.02503	0.512193	0.000681466	104.152	0.000179448	125.34	0.00999994	1.30083
7	2.05105	0.00511988	1.03003	0.508999	0.000700462	104.984	0.000215338	126.864	0.0119999	1.30345
8	2.22623	0.00520786	1.03504	0.505571	0.000719457	105.796	0.000251228	128.356	0.0139999	1.3054
9	2.4014	0.00529598	1.04004	0.501912	0.000738453	106.587	0.000287117	129.813	0.0159999	1.30668
10	2.57658	0.00538419	1.04505	0.49803	0.000757449	107.359	0.000323007	131.235	0.0179999	1.30729
11	2.75175	0.00547246	1.05005	0.493929	0.000776444	108.113	0.000358897	132.619	0.0199999	1.30723
12	2.92693	0.00556077	1.05506	0.489615	0.00079544	108.847	0.000394787	133.966	0.0219999	1.3065
13	3.1021	0.00564909	1.06006	0.485095	0.000814435	109.565	0.000430676	135.273	0.0239999	1.3051
14	3.27728	0.00573738	1.06507	0.480375	0.000833431	110.265	0.000466566	136.541	0.0259998	1.30304
15	3.45245	0.00582562	1.07007	0.475461	0.000852427	110.95	0.000502456	137.767	0.0279998	1.30031
16	3.62763	0.00591377	1.07508	0.470362	0.000871422	111.619	0.000538345	138.952	0.0299998	1.29694
17	3.8028	0.00600181	1.08008	0.465083	0.000890418	112.274	0.000574235	140.094	0.0319998	1.29292
18	3.97798	0.0060897	1.08509	0.459632	0.000909414	112.915	0.000610125	141.192	0.0339998	1.28826
19	4.15315	0.00617743	1.09009	0.454018	0.000928409	113.544	0.000646014	142.246	0.0359998	1.28296
20	4.32833	0.00626495	1.0951	0.448246	0.000947405	114.162	0.000681904	143.255	0.0379998	1.27705
21	4.5035	0.00635224	1.1001	0.442326	0.000966401	114.769	0.000717794	144.219	0.0399998	1.27052
22	4.67868	0.00643928	1.10511	0.436265	0.000985396	115.366	0.000753684	145.137	0.0419997	1.2634
23	4.85385	0.00652603	1.11011	0.430072	0.00100439	115.955	0.000789573	146.008	0.0439997	1.25569
24	5.02903	0.00661246	1.11512	0.423754	0.00102339	116.537	0.000825463	146.833	0.0459997	1.24741
25	5.2042	0.00669856	1.12012	0.41732	0.00104238	117.113	0.000861353	147.61	0.0479997	1.23856
26	5.37938	0.00678428	1.12513	0.410777	0.00106138	117.683	0.000897242	148.339	0.0499997	1.22918
27	5.55455	0.00686961	1.13013	0.404135	0.00108037	118.249	0.000933132	149.021	0.0519997	1.21926
28	5.72973	0.00695451	1.13514	0.397402	0.00109937	118.812	0.000969022	149.655	0.0539997	1.20883
29	5.9049	0.00703896	1.14014	0.390585	0.00111837	119.373	0.00100491	150.241	0.0559997	1.19791
30	6.08008	0.00712293	1.14515	0.383695	0.00113736	119.934	0.0010408	150.78	0.0579996	1.18651
31	6.25526	0.0072064	1.15015	0.376737	0.00115636	120.495	0.00107669	151.27	0.0599996	1.17465
32	6.43043	0.00728934	1.15516	0.369722	0.00117535	121.057	0.00111258	151.712	0.0619996	1.16236
33	6.60561	0.00737172	1.16016	0.362657	0.00119435	121.621	0.00114847	152.107	0.0639996	1.14964
34	6.78078	0.00745352	1.16517	0.355551	0.00121334	122.189	0.00118436	152.455	0.0659996	1.13652
35	6.95596	0.00753471	1.17017	0.348411	0.00123234	122.762	0.00122025	152.755	0.0679996	1.12303
36	7.13113	0.00761527	1.17518	0.341245	0.00125134	123.34	0.00125614	153.008	0.0699996	1.10918
37	7.30631	0.00769516	1.18018	0.334062	0.00127033	123.925	0.00129203	153.215	0.0719996	1.09498
38	7.48148	0.00777438	1.18519	0.326869	0.00128933	124.517	0.00132792	153.376	0.0739995	1.08048
39	7.65666	0.00785288	1.19019	0.319673	0.00130832	125.118	0.00136381	153.492	0.0759995	1.06568
40	7.83183	0.00793064	1.1952	0.312483	0.00132732	125.728	0.0013997	153.562	0.0779995	1.0506
41	8.00701	0.00800765	1.2002	0.305305	0.00134631	126.349	0.00143559	153.589	0.0799995	1.03528
42	8.18218	0.00808387	1.20521	0.298147	0.00136531	126.981	0.00147148	153.571	0.0819995	1.01973
