PRI.div.model	PRI.t.1	PRI.t.2	PRI.t.3	PRI.t.4	PRI.t.5	PRI.t.6	PRI.d1Theta.1	PRI.d1Theta.2	PRI.d1Theta.3	PRI.d1Theta.4	PRI.d1Theta.5	PRI.d1Theta.6	PRI.d2Theta.1	PRI.d2Theta.2	PRI.d2Theta.3	PRI.d2Theta.4	PRI.d2Theta.5	PRI.d2Theta.6	PRI.aTheta.1	PRI.aTheta.2	PRI.aTheta.3	PRI.aTheta.4	PRI.aTheta.5	PRI.aTheta.6	PRI.model	PRI.Psi	PRI.var.t	PRI.E.t	PRI.omega	PRI.cv	pi.1	pi.2	pi.3	pi.4	pi.5	pi.6	wattTheta.1	wattTheta.2	wattTheta.3	wattTheta.4	wattTheta.5	wattTheta.6	pi.net.1	pi.net.2	pi.net.3	pi.net.4	pi.net.5	pi.net.6	tajD.denom.1	tajD.denom.2	tajD.denom.3	tajD.denom.4	tajD.denom.5	tajD.denom.6
14	0.01871801240	0.00127285007	0.00127285007	0.00127285007	0.01645297739	0.00311133270	0.013135	0.002385	0.003848	0.002848	0.002476	0.006896	0.013135	0.002385	0.003848	0.002848	0.002476	0.006896	0.013135	0.002385	0.003848	0.002848	0.002476	0.006896	1	4	6.80382745181981e-05	0.00701681211666667	0.00969646520199541	1.17553833865967	0.028536	0.001326	0.010472	0.001919	0.021279	0.009914	0.033263	0.003457	0.008797	0.003217	0.013047	0.013531	0.034731	0.000172	0.003226	0.001666	0.035342	0.000208	0.054181	0.018119	0.026033	0.019135	0.034445	0.033407
118	0.01218761611	0.01386709694	0.01386709694	0.00123064565	0.00123064565	0.01218761611	0.014655	0.003146	0.004310	0.003818	0.009718	0.003465	0.014655	0.003146	0.004310	0.003818	0.009718	0.003465	0.014655	0.003146	0.004310	0.003818	0.009718	0.003465	1	3	3.76741011632257e-05	0.00909511956666667	0.0041422326432409	0.67485898907349	0.021169	0.008625	0.007315	0.003010	0.011116	0.013234	0.029822	0.004322	0.007917	0.004557	0.016414	0.012629	0.009558	0.015183	0.014671	0.000365	0.002955	0.025253	0.051238	0.020264	0.024688	0.022786	0.038682	0.032264
1	0.02382027426	0.00235381868	0.00038716466	0.00103549025	0.00561932879	0.01608991132	0.009057	0.001963	0.003302	0.003912	0.007303	0.003170	0.009057	0.001963	0.003302	0.003912	0.007303	0.003170	0.009057	0.001963	0.003302	0.003912	0.007303	0.003170	1	6	9.18900184564086e-05	0.00821766466	0.011182011223175	1.16650271634286	0.030744	0.005536	0.005955	0.005138	0.018832	0.010205	0.027528	0.004322	0.005278	0.004825	0.018097	0.011276	0.039532	0.008110	0.001203	0.000330	0.014413	0.028877	0.049187	0.020264	0.020137	0.023449	0.040642	0.030471
74	0.00511004038	0.00511004038	0.00188992079	0.00188992079	0.01068603152	0.01068603152	0.008000	0.001769	0.003458	0.004753	0.006132	0.007141	0.008000	0.001769	0.003458	0.004753	0.006132	0.007141	0.008000	0.001769	0.003458	0.004753	0.006132	0.007141	1	3	1.58443215122242e-05	0.00589533089666667	0.00268760512173844	0.675194097086756	0.015422	0.004620	0.004363	0.002899	0.016290	0.014940	0.025234	0.004322	0.004398	0.003753	0.014730	0.014884	0.006711	0.006005	0.003218	0.000681	0.020489	0.008553	0.047053	0.020264	0.018377	0.020672	0.036622	0.035056
17	0.01388850720	0.00151782581	0.00151782581	0.00151782581	0.00780027382	0.00780027382	0.006943	0.002217	0.002352	0.002325	0.005075	0.005625	0.006943	0.002217	0.002352	0.002325	0.005075	0.005625	0.006943	0.002217	0.002352	0.002325	0.005075	0.005625	1	3	2.56683121175829e-05	0.00567375537833333	0.00452404279105931	0.892951864300985	0.029468	0.000927	0.001976	0.002431	0.014639	0.009819	0.027528	0.001729	0.001759	0.002949	0.011363	0.013531	0.015383	0.000260	0.000000	0.003080	0.012795	0.004509	0.049187	0.012804	0.011610	0.018319	0.032126	0.033407
31	0.01125439853	0.00993173315	0.00371332546	0.00372430761	0.00993173315	0.01125439853	0.010998	0.006029	0.002455	0.001647	0.004284	0.003515	0.010998	0.006029	0.002455	0.001647	0.004284	0.003515	0.010998	0.006029	0.002455	0.001647	0.004284	0.003515	1	4	1.29513150708634e-05	0.008301649405	0.00156008937971567	0.433503437945889	0.024409	0.010457	0.003414	0.004941	0.015859	0.006895	0.030969	0.007779	0.005278	0.004021	0.010942	0.008570	0.013066	0.013291	0.007939	0.012265	0.027672	0.015187	0.052236	0.027220	0.020137	0.021400	0.031521	0.026537
2	0.00887184539	0.00323903070	0.01720460468	0.00323903070	0.00776315922	0.01510577658	0.009990	0.005311	0.002208	0.001906	0.004097	0.003728	0.009990	0.005311	0.002208	0.001906	0.004097	0.003728	0.009990	0.005311	0.002208	0.001906	0.004097	0.003728	1	5	3.44364157030192e-05	0.00923724121166667	0.00372799788529133	0.635282199170582	0.031665	0.005405	0.005749	0.006137	0.011789	0.006789	0.029822	0.006050	0.006158	0.005361	0.011784	0.008570	0.020696	0.002025	0.015872	0.016928	0.010599	0.024125	0.051238	0.023991	0.021758	0.024722	0.032721	0.026537
80	0.00592639761	0.00400430544	0.00400430544	0.00592639761	0.00400430544	0.00526313262	0.008534	0.003811	0.004519	0.001862	0.007072	0.003517	0.008534	0.003811	0.004519	0.001862	0.007072	0.003517	0.008534	0.003811	0.004519	0.001862	0.007072	0.003517	1	3	9.26680278703044e-07	0.00485480736	0.000190878897963738	0.19828641399433	0.025097	0.005365	0.004954	0.003672	0.022037	0.006461	0.024087	0.006915	0.007917	0.003217	0.017255	0.007217	0.005776	0.004407	0.000000	0.009999	0.011104	0.010355	0.045952	0.025655	0.024688	0.019135	0.039673	0.024339
43	0.01053532796	0.01053532796	0.01053532796	0.01053532796	0.01053532796	0.01053532796	0.007128	0.004750	0.003013	0.000375	0.003495	0.005800	0.007128	0.004750	0.003013	0.000375	0.003495	0.005800	0.007128	0.004750	0.003013	0.000375	0.003495	0.005800	1	1	0	0.01053532796	0	0	0.021568	0.003084	0.007802	0.003883	0.017082	0.010364	0.025234	0.004322	0.009677	0.002413	0.013047	0.012178	0.019660	0.000822	0.021905	0.011250	0.023441	0.025129	0.047053	0.020264	0.027313	0.016567	0.034445	0.031677
21	0.01536639843	0.00206726149	0.00206726149	0.00206726149	0.01536639843	0.00206726149	0.007914	0.003383	0.004328	0.006261	0.006360	0.009069	0.007914	0.003383	0.004328	0.006261	0.006360	0.009069	0.007914	0.003383	0.004328	0.006261	0.006360	0.009069	1	2	4.71645448930327e-05	0.00650030713666667	0.00725574098291277	1.05651081412264	0.044978	0.003715	0.002772	0.004835	0.023462	0.009686	0.037851	0.005186	0.003519	0.007774	0.018097	0.010825	0.027775	0.001234	0.004949	0.002452	0.032699	0.009079	0.057894	0.022204	0.016431	0.029793	0.040642	0.029850
