what	PRI.div.model	PRI.Psi	PRI.E.t	PRI.omega	PRI.cv
mode	15.4144	3.00701	0.00359856	0.0057405	0.0320072
mean	0.425792	0.601926	0.164428	0.142306	0.262953
median	84.2372	2.98091	0.00397097	0.00694995	0.441171
quantile_50_lower_bound	30.1516	2.07928	0.00264585	0.00455976	0.213453
quantile_50_upper_bound	121.665	3.90218	0.00540846	0.0106406	0.868707
quantile_90_lower_bound	8.28388	1.22275	0.00128659	0.0018095	0.0373578
quantile_90_upper_bound	167.589	4.96871	0.00772635	0.0274981	1.62256
quantile_95_lower_bound	5.14726	1.09878	0.000991761	0.00112276	0.0182289
quantile_95_upper_bound	179.362	5.13952	0.0084718	0.0326966	1.77327
quantile_99_lower_bound	1.907	1.01736	0.000661214	0.00027757	0.00276926
quantile_99_upper_bound	189.754	5.39832	0.00976309	0.0370897	1.96929
HPD_50_lower_bound	3.30617	1.82076	0.00225902	0.00319716	-3.31506e-06
HPD_50_upper_bound	131.499	4.1432	0.00496338	0.00841431	0.461821
HPD_90_lower_bound	0.999985	0.999956	0.000868266	1.12374e-06	-1.10622e-05
HPD_90_upper_bound	158.982	5.18923	0.00706217	0.0201559	1.58437
HPD_95_lower_bound	1	0.999979	0.000564982	-2.24703e-05	1.03175e-06
HPD_95_upper_bound	167.438	5.24927	0.00771948	0.0337479	1.62093
HPD_99_lower_bound	1	0.999999	0.000565026	1.16067e-06	1.06334e-06
HPD_99_upper_bound	187.426	5.35436	0.00926194	0.035616	1.90214
