PRI.div.model	PRI.t.1	PRI.t.2	PRI.t.3	PRI.t.4	PRI.t.5	PRI.t.6	PRI.d1Theta.1	PRI.d1Theta.2	PRI.d1Theta.3	PRI.d1Theta.4	PRI.d1Theta.5	PRI.d1Theta.6	PRI.d2Theta.1	PRI.d2Theta.2	PRI.d2Theta.3	PRI.d2Theta.4	PRI.d2Theta.5	PRI.d2Theta.6	PRI.aTheta.1	PRI.aTheta.2	PRI.aTheta.3	PRI.aTheta.4	PRI.aTheta.5	PRI.aTheta.6	PRI.model	PRI.Psi	PRI.var.t	PRI.E.t	PRI.omega	PRI.cv	pi.1	pi.2	pi.3	pi.4	pi.5	pi.6	wattTheta.1	wattTheta.2	wattTheta.3	wattTheta.4	wattTheta.5	wattTheta.6	pi.net.1	pi.net.2	pi.net.3	pi.net.4	pi.net.5	pi.net.6	tajD.denom.1	tajD.denom.2	tajD.denom.3	tajD.denom.4	tajD.denom.5	tajD.denom.6
72	0.00684802107	0.00684802107	0.00771723056	0.00560591486	0.02615384067	0.00560591486	0.005135	0.002493	0.002464	0.001331	0.007401	0.007519	0.005135	0.002493	0.002464	0.001331	0.007401	0.007519	0.005135	0.002493	0.002464	0.001331	0.007401	0.007519	1	4	6.48790037660999e-05	0.009796490515	0.0066226781587508	0.822207746004185	0.020326	0.007351	0.005185	0.004174	0.022362	0.005264	0.020646	0.003457	0.004398	0.003217	0.017255	0.006766	0.008683	0.014337	0.008951	0.010968	0.038662	0.001234	0.042489	0.018119	0.018377	0.019135	0.039673	0.023562
45	0.01816993386	0.01194549404	0.01194549404	0.00035217014	0.01816993386	0.00035217014	0.007098	0.004380	0.003464	0.004121	0.002942	0.010661	0.007098	0.004380	0.003464	0.004121	0.002942	0.010661	0.007098	0.004380	0.003464	0.004121	0.002942	0.010661	1	3	6.54162018806482e-05	0.0101558660133333	0.00644122340672526	0.796389819982319	0.035526	0.012107	0.007109	0.003258	0.021542	0.006879	0.024087	0.007779	0.009677	0.004557	0.012205	0.012629	0.046289	0.019059	0.014727	0.000314	0.041017	0.000482	0.045952	0.027220	0.027313	0.022786	0.033305	0.032264
29	0.03111211319	0.00030367795	0.00917829701	0.00030367795	0.00646805890	0.00646805890	0.005407	0.006266	0.004840	0.003478	0.006091	0.005194	0.005407	0.006266	0.004840	0.003478	0.006091	0.005194	0.005407	0.006266	0.004840	0.003478	0.006091	0.005194	1	4	0.000130609245264081	0.00897231398333333	0.0145569187064448	1.27374501327805	0.038743	0.003596	0.007007	0.007778	0.020462	0.007753	0.024087	0.005186	0.007917	0.006165	0.016834	0.010825	0.068328	0.000409	0.006633	0.000000	0.035501	0.011691	0.045952	0.022204	0.024688	0.026518	0.039181	0.029850
30	0.01959831205	0.00414625434	0.00223166846	0.00223166846	0.01503865327	0.00414625434	0.003269	0.005803	0.004103	0.002610	0.003521	0.003544	0.003269	0.005803	0.004103	0.002610	0.003521	0.003544	0.003269	0.005803	0.004103	0.002610	0.003521	0.003544	1	4	5.60504089138601e-05	0.00789880182	0.00709606471856766	0.947825033944907	0.031199	0.006935	0.004928	0.004046	0.021610	0.004856	0.021793	0.007779	0.007917	0.004557	0.015572	0.007217	0.050454	0.003280	0.004393	0.001685	0.032620	0.012930	0.043672	0.027220	0.024688	0.022786	0.037665	0.024339
164	0.00999385176	0.01233136006	0.00388048797	0.01233136006	0.00999385176	0.00388048797	0.007130	0.001900	0.005306	0.000712	0.004162	0.002177	0.007130	0.001900	0.005306	0.000712	0.004162	0.002177	0.007130	0.001900	0.005306	0.000712	0.004162	0.002177	1	3	1.52339201283991e-05	0.00873523326333333	0.00174396260170228	0.446818689404397	0.022034	0.007550	0.003876	0.007030	0.018258	0.008738	0.019499	0.004322	0.002639	0.005361	0.011784	0.006315	0.018562	0.014315	0.003290	0.018054	0.028579	0.002967	0.041275	0.020264	0.014225	0.024722	0.032721	0.022759
47	0.03941063961	0.00214193911	0.00214193911	0.00107472200	0.01322770711	0.00107472200	0.005374	0.002608	0.004931	0.002650	0.002323	0.002508	0.005374	0.002608	0.004931	0.002650	0.002323	0.002508	0.005374	0.002608	0.004931	0.002650	0.002323	0.002508	1	4	0.000231615919804176	0.00984527815666667	0.0235255841550133	1.54581035669097	0.027848	0.002054	0.005801	0.001037	0.011799	0.003268	0.021793	0.004322	0.007037	0.002681	0.008417	0.004961	0.041088	0.000226	0.006016	0.001279	0.022730	0.002850	0.043672	0.020264	0.023269	0.017465	0.027620	0.020164
17	0.01696913989	0.01737465281	0.01055821938	0.00090449512	0.00090449512	0.01055821938	0.005442	0.002291	0.003080	0.004735	0.008195	0.008083	0.005442	0.002291	0.003080	0.004735	0.008195	0.008083	0.005442	0.002291	0.003080	0.004735	0.008195	0.008083	1	4	5.35582384634189e-05	0.00954487028333333	0.00561120653016511	0.766731156997152	0.015089	0.007470	0.005980	0.003036	0.013067	0.009702	0.016058	0.004322	0.007917	0.004557	0.011363	0.011276	0.017309	0.012156	0.021173	0.000669	0.000926	0.011814	0.037409	0.020264	0.024688	0.022786	0.032126	0.030471
164	0.02693209229	0.00571160973	0.01369426675	0.00571160973	0.02693209229	0.01369426675	0.006460	0.001026	0.002029	0.002192	0.003981	0.001970	0.006460	0.001026	0.002029	0.002192	0.003981	0.001970	0.006460	0.001026	0.002029	0.002192	0.003981	0.001970	1	3	9.19028957607594e-05	0.01544598959	0.00594995194223483	0.620653001608445	0.026739	0.001678	0.008341	0.006323	0.025318	0.010449	0.020646	0.001729	0.012316	0.006701	0.015993	0.008570	0.033877	0.000814	0.030846	0.010039	0.045249	0.019828	0.042489	0.012804	0.030844	0.027652	0.038177	0.026537
13	0.03312620155	0.00343511784	0.01135078148	0.00017658780	0.00989370636	0.00343511784	0.004734	0.002493	0.006283	0.002324	0.002000	0.004087	0.004734	0.002493	0.006283	0.002324	0.002000	0.004087	0.004734	0.002493	0.006283	0.002324	0.002000	0.004087	1	5	0.000143803399884043	0.010236252145	0.0140484425204674	1.1715035308573	0.037301	0.007692	0.005724	0.002336	0.014533	0.005381	0.022940	0.004322	0.007917	0.002681	0.008417	0.007668	0.058785	0.008444	0.020091	0.000625	0.026957	0.019137	0.044826	0.020264	0.024688	0.017465	0.027620	0.025093
3	0.01540192069	0.00887075253	0.00258217904	0.00887075253	0.00785560555	0.00341564851	0.007130	0.001305	0.004043	0.002008	0.004647	0.003922	0.007130	0.001305	0.004043	0.002008	0.004647	0.003922	0.007130	0.001305	0.004043	0.002008	0.004647	0.003922	1	5	2.13054093545174e-05	0.00783280980833333	0.00272002127919033	0.589287678017784	0.023166	0.005513	0.002900	0.008775	0.017674	0.002330	0.019499	0.002593	0.003519	0.007238	0.012626	0.005864	0.023949	0.010753	0.004994	0.019083	0.024320	0.005719	0.041275	0.015686	0.016431	0.028742	0.033879	0.021928
